College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Lassen,CCC000000300,AJ-48       ,210500,D,03.00,00.50,N,C,Y,Y,Y,,,20100315
Lassen,CCC000000315,FS60        ,213310,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000000818,AT-29C      ,094800,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000000901,HO-116      ,123020,C,03.00,03.00,N,C,Y,Y,Y,,,20151210
Lassen,CCC000001262,GSS6303     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000001482,ENGL2       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20240131
Lassen,CCC000010156,GS-33       ,099900,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000010324,NRA-87      ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000010837,AGR-43      ,011600,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000011059,VN-75       ,123020,D,03.00,03.00,N,C,Y,Y,Y,,,20151218
Lassen,CCC000011401,HUS25       ,210400,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000011632,PE-33A      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151217
Lassen,CCC000011704,SPOT-31     ,094610,D,06.00,06.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000011754,MATH1A      ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20220624
Lassen,CCC000011808,ART-56      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000637284,FS132       ,213300,C,00.50,00.50,N,C,Y,Y,Y,,,20250118
Lassen,CCC000639066,FS156       ,213300,N,00.00,00.00,N,C,Y,I,Y,,,20250118
Lassen,CCC000536208,FS70B       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250118
Lassen,CCC000336581,FS70C       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250118
Lassen,CCC000507267,FS73A       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250118
Lassen,CCC000605472,FS74        ,213310,D,01.00,01.00,N,C,Y,Y,Y,,,20250118
Lassen,CCC000435752,FS75        ,213310,D,02.00,02.00,N,C,Y,Y,Y,,,20250118
Lassen,CCC000594770,FS96        ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250118
Lassen,CCC000633606,FS96A       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250118
Lassen,CCC000637865,FS97A       ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250118
Lassen,CCC000507269,FS9818      ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250118
Lassen,CCC000527252,FS9821      ,213300,D,02.50,02.50,N,C,Y,Y,Y,,,20250118
Lassen,CCC000022798,PE-2C       ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20151217
Lassen,CCC000022814,ART-11B     ,100210,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000023004,CT-66       ,095210,D,03.00,03.00,N,B,Y,Y,Y,,,20100315
Lassen,CCC000023283,AJ-48.74    ,210500,D,01.00,01.00,N,C,Y,Y,Y,,,20100315
Lassen,CCC000023319,CS-46.02    ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000023803,NRA-120B    ,099900,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000024129,AT-36       ,094800,D,02.00,02.00,N,C,Y,Y,Y,,,20100315
Lassen,CCC000024273,HO-117      ,123020,C,03.00,03.00,N,C,Y,Y,Y,,,20151209
Lassen,CCC000651787,ART162      ,100200,N,00.00,00.00,N,E,Y,H,Y,,,20250415
Lassen,CCC000651788,ART169      ,101100,N,00.00,00.00,N,E,Y,H,Y,,,20250415
Lassen,CCC000651789,ART173      ,100200,N,00.00,00.00,N,E,Y,H,Y,,,20250415
Lassen,CCC000651790,ART186      ,100230,N,00.00,00.00,N,E,Y,H,Y,,,20250415
Lassen,CCC000651867,ART161      ,100210,N,00.00,00.00,N,E,Y,H,Y,,,20250418
Lassen,CCC000651868,ART175      ,103000,N,00.00,00.00,N,D,Y,H,Y,,,20250418
Lassen,CCC000641781,DA60        ,124010,D,00.50,00.50,N,C,Y,Y,Y,,,20250418
Lassen,CCC000634511,NURS1       ,123010,D,04.00,04.00,N,C,Y,Y,Y,,,20250418
Lassen,CCC000634512,NURS10      ,123010,D,03.00,03.00,N,C,Y,Y,Y,,,20250418
Lassen,CCC000209846,CD20        ,130500,D,03.00,03.00,N,B,Y,Y,Y,,,20250417
Lassen,CCC000641771,DA50        ,124010,D,05.00,05.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641772,DA51        ,124010,D,03.00,03.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641773,DA52        ,124010,D,04.00,04.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641774,DA53        ,124010,D,01.00,01.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641775,DA54        ,124010,D,04.00,04.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641776,DA55        ,124010,D,03.00,03.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641777,DA56        ,124010,D,04.00,04.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641778,DA57        ,124010,D,03.00,03.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641779,DA58        ,124010,D,01.00,01.00,N,C,Y,Y,Y,,,20250417
Lassen,CCC000641780,DA59        ,124010,D,00.50,00.50,N,C,Y,Y,Y,,,20250417
Lassen,CCC000030921,PE-52G      ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20151217
Lassen,CCC000031204,PE-19       ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151217
Lassen,CCC000037298,CG-112      ,493010,C,00.50,00.50,B,E,Y,Y,Y,,,20151125
Lassen,CCC000037587,DS-157      ,493030,N,00.00,00.00,B,E,Y,C,Y,68,68,20160120
Lassen,CCC000037647,CT-108      ,095200,C,15.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000038081,PE-98.02    ,083500,D,02.00,00.50,N,E,Y,Y,Y,,,20151217
Lassen,CCC000038321,PE-25A      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151215
Lassen,CCC000038384,PE-62A      ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20151216
Lassen,CCC000004478,GSS-96.01   ,099900,D,03.00,01.00,N,C,Y,Y,Y,,,20151209
Lassen,CCC000004586,CT-84B      ,095230,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000004814,PEAC-22E    ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151216
Lassen,CCC000004854,AJ-48.34    ,210500,D,00.50,00.50,N,C,Y,Y,Y,,,20100315
Lassen,CCC000004986,ENGL12      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20240124
Lassen,CCC000004993,ECON-10T    ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000005306,GSS5902     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000005308,ENGR-8      ,090100,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000005352,ESL-149     ,493087,N,00.00,00.00,B,E,D,A,Y,20,20,20160120
Lassen,CCC000005461,HUS-64      ,210400,D,03.00,03.00,N,C,Y,Y,Y,,,20151211
Lassen,CCC000005571,PE-125      ,083500,C,01.00,01.00,N,E,Y,Y,Y,,,20151216
Lassen,CCC000005920,GSS72017201 ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000006414,AJ-48.67    ,210500,D,00.50,00.50,N,C,Y,Y,Y,,,20080630
Lassen,CCC000006791,COS-76      ,300700,D,08.50,08.50,N,C,Y,Y,Y,,,20100315
Lassen,CCC000006910,CT-113      ,095210,C,02.00,02.00,N,B,Y,Y,Y,,,20100315
Lassen,CCC000007138,FS-21       ,213350,D,02.00,02.00,N,C,Y,Y,Y,,,20130129
Lassen,CCC000007421,PE-52F      ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20151215
Lassen,CCC000007462,PEAC-39A    ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20151217
Lassen,CCC000007769,NRA-118     ,099900,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000013864,COT-70      ,051410,D,02.00,01.00,N,B,Y,Y,Y,,,20151124
Lassen,CCC000013979,PE-98.01    ,083500,D,02.00,00.50,N,E,Y,Y,Y,,,20151215
Lassen,CCC000015006,ECE161      ,130500,N,00.00,00.00,N,D,Y,F,Y,0,0,20160120
Lassen,CCC000015157,BUS-12A     ,051400,D,02.00,01.00,N,D,Y,Y,Y,,,20070917
Lassen,CCC000015240,GSS52       ,083500,D,00.50,00.50,N,C,Y,Y,Y,,,20191019
Lassen,CCC000015294,PE-9        ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20151217
Lassen,CCC000015299,AT-38A      ,094800,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000015321,SPAN2       ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Lassen,CCC000015624,CA-41C      ,051400,D,00.50,00.50,N,B,Y,Y,Y,,,20100315
Lassen,CCC000534775,AT50        ,094800,D,03.00,03.00,N,C,Y,Y,Y,,,20250302
Lassen,CCC000535901,AT54        ,094800,D,03.00,03.00,N,C,Y,Y,Y,,,20250302
Lassen,CCC000108266,PSYC18      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250302
Lassen,CCC000181833,PSYC31      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250302
Lassen,CCC000541721,PSYC33      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250302
Lassen,CCC000541722,PSYC5       ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250302
Lassen,CCC000587699,PSYC6       ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250302
Lassen,CCC000507271,VN60        ,123020,D,02.00,02.00,N,C,Y,Y,Y,,,20250302
Lassen,CCC000654078,CA150       ,070100,N,00.00,00.00,N,D,Y,H,Y,,,20250831
Lassen,CCC000196380,WT43        ,095650,D,03.00,03.00,N,B,Y,Y,Y,,,20250404
Lassen,CCC000221635,WT44        ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20250404
Lassen,CCC000246806,WT45        ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20250404
Lassen,CCC000554735,WT50        ,095650,D,02.00,02.00,N,D,Y,Y,Y,,,20250404
Lassen,CCC000564372,WT51        ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250404
Lassen,CCC000602124,WT52        ,095650,D,03.00,03.00,N,D,Y,Y,Y,,,20250404
Lassen,CCC000602125,WT53        ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20250404
Lassen,CCC000579860,FS80        ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250717
Lassen,CCC000459341,FS76        ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20250119
Lassen,CCC000459343,FS78        ,213310,D,01.00,01.00,N,C,Y,Y,Y,,,20250119
Lassen,CCC000035511,AGR-77      ,011600,D,03.00,01.00,N,C,Y,Y,Y,,,20100315
Lassen,CCC000035705,SPOT-32     ,094610,D,06.00,06.00,N,B,Y,Y,Y,,,20070917
Lassen,CCC000035707,VN-76       ,123020,D,02.00,02.00,N,C,Y,Y,Y,,,20151218
Lassen,CCC000035742,MATH1B      ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20220624
Lassen,CCC000036050,PEAC-31     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151216
Lassen,CCC000036756,GSS-132     ,099900,C,01.00,01.00,N,D,Y,Y,Y,,,20151204
Lassen,CCC000037019,GSS6103     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000037189,ART-57      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000044452,GSS-50.04   ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000044583,GS-80       ,099900,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000044620,DS-118      ,493032,C,01.50,00.50,N,E,Y,Y,Y,,,20151130
Lassen,CCC000044781,COT-65      ,051420,D,02.00,02.00,N,B,Y,Y,Y,,,20080630
Lassen,CCC000045717,GS-1        ,095630,D,07.00,07.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000045771,PE-20IJ     ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000045805,GSS9803     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000002673,VN-81       ,123020,D,06.00,06.00,N,B,Y,Y,Y,,,20151218
Lassen,CCC000002961,HUS31       ,210400,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000003240,GS-72       ,099900,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000003300,AJ-48.01    ,210500,D,00.50,00.50,N,C,Y,Y,Y,,,20100315
Lassen,CCC000012138,GSS6102     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000012349,BUS-27      ,150100,D,03.00,03.00,N,C,Y,Y,Y,,,20130521
Lassen,CCC000012424,AGR-76      ,011600,D,03.00,01.00,N,C,Y,Y,Y,,,20100315
Lassen,CCC000013065,GS155       ,493014,N,00.00,00.00,B,E,Y,C,Y,,,20191019
Lassen,CCC000013130,AJ-48.28    ,210500,D,00.50,00.50,N,C,Y,Y,Y,,,20100315
Lassen,CCC000635180,FS72C       ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20250117
Lassen,CCC000615550,FS92A       ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Lassen,CCC000615551,FS92B       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250117
Lassen,CCC000615552,FS92C       ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Lassen,CCC000615553,FS92D       ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Lassen,CCC000615686,FS92E       ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Lassen,CCC000587647,FS94        ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20250117
Lassen,CCC000567408,ART19A      ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20250404
Lassen,CCC000435718,ART19B      ,101100,D,01.00,01.00,N,E,Y,Y,Y,,,20250404
Lassen,CCC000435719,ART19C      ,101100,D,01.00,01.00,N,E,Y,Y,Y,,,20250404
Lassen,CCC000435720,ART19D      ,101100,D,01.00,01.00,N,E,Y,Y,Y,,,20250404
Lassen,CCC000587744,BUS27       ,050100,D,03.00,03.00,N,C,Y,Y,Y,,,20250404
Lassen,CCC000637256,FS57        ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250112
Lassen,CCC000581034,FS59        ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250112
Lassen,CCC000637575,FS601       ,213310,D,06.00,06.00,N,C,Y,Y,Y,,,20250112
Lassen,CCC000637525,FS60C       ,213310,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Lassen,CCC000435742,FS61        ,213310,D,02.00,02.00,N,C,Y,Y,Y,,,20250112
Lassen,CCC000639189,FS64        ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250112
Lassen,CCC000620128,FS64B       ,213300,C,02.00,02.00,N,C,Y,Y,Y,,,20250112
Lassen,CCC000015758,PE-31       ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151216
Lassen,CCC000015971,FS-48       ,213300,D,03.00,00.50,N,C,Y,Y,Y,,,20151203
Lassen,CCC000016069,ART-120     ,100200,C,01.00,01.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000016086,GSS5701     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000016418,CT-72       ,095210,D,03.00,03.00,N,C,Y,Y,Y,,,20100315
Lassen,CCC000016713,GSS85       ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000024665,GSS79       ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20240209
Lassen,CCC000024870,GSS6304     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000024964,NRA-125     ,099900,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000025103,AJ49        ,493200,D,08.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000025178,AT-29D      ,094800,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000655308,AJ52B       ,210500,D,01.00,01.00,N,D,Y,Y,Y,,,20251204
Lassen,CCC000655309,AJ52BR      ,210500,D,00.50,00.50,N,D,Y,Y,Y,,,20251204
Lassen,CCC000655310,AJ53        ,210500,C,02.00,02.00,N,D,Y,Y,Y,,,20251204
Lassen,CCC000655311,AJ55        ,210500,D,01.50,01.50,N,D,Y,Y,Y,,,20251204
Lassen,CCC000655312,AJ56        ,210500,D,01.50,01.50,N,D,Y,Y,Y,,,20251204
Lassen,CCC000655313,AJ57        ,210500,D,01.00,01.00,N,D,Y,Y,Y,,,20251204
Lassen,CCC000655314,AJ58        ,210500,C,01.00,01.00,N,D,Y,Y,Y,,,20251204
Lassen,CCC000655315,AJ66        ,210500,D,01.00,01.00,N,D,Y,Y,Y,,,20251204
Lassen,CCC000576641,VN50        ,120100,D,04.00,04.00,N,C,Y,Y,Y,,,20250221
Lassen,CCC000034409,NRA-88      ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000034483,PE-71       ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151216
Lassen,CCC000034555,GSS6801     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000034581,HUS-26      ,210400,D,01.00,01.00,N,C,Y,Y,Y,,,20151211
Lassen,CCC000034786,GS-34       ,099900,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000034868,AGR-44      ,011600,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000044007,FS-48.02    ,213300,D,02.50,02.50,N,C,Y,Y,Y,,,20151202
Lassen,CCC000044140,FS-98.05    ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Lassen,CCC000044142,CD-99B      ,130500,D,01.00,01.00,N,C,Y,Y,Y,,,20100315
Lassen,CCC000044344,ART-44A     ,100910,D,02.00,02.00,N,E,Y,Y,Y,,,20100315
Lassen,CCC000051991,PEAC-44A    ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20151216
Lassen,CCC000052156,AGR51       ,010240,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000052394,GS-74       ,099900,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000052565,COT59       ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000052641,GSS-96.03   ,095630,D,03.00,01.00,N,C,Y,Y,Y,,,20151209
Lassen,CCC000016871,SPOT-98.21  ,094610,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000017300,ART-15A     ,100210,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000017588,NRA-131     ,099900,C,01.00,01.00,N,D,Y,Y,Y,,,20070917
Lassen,CCC000017780,GS-27       ,100900,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000018225,PE-32E      ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20151216
Lassen,CCC000018837,FS9804      ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20190713
Lassen,CCC000019182,GSS5003     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000019215,MUS-110     ,100400,C,02.00,02.00,N,E,Y,Y,Y,,,20151214
Lassen,CCC000019314,DS-117      ,493032,C,01.50,00.50,N,E,Y,Y,Y,,,20151130
Lassen,CCC000019635,AGR-122     ,010240,C,00.50,00.50,N,C,Y,Y,Y,,,20100315
Lassen,CCC000020175,WT-8        ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20151218
Lassen,CCC000020221,PE-21A      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151215
Lassen,CCC000020429,FS-48.01    ,213300,D,02.50,02.50,N,C,Y,Y,Y,,,20151202
Lassen,CCC000020556,GSS9802     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000026721,PE-20E      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000026795,AGR-114A    ,010240,C,03.00,03.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000026910,VN-82       ,123020,D,02.00,02.00,N,C,Y,Y,Y,,,20151218
Lassen,CCC000027213,ENGL-102A   ,150100,C,01.50,01.50,B,E,B,Y,Y,,,20151201
Lassen,CCC000027337,NRA-94      ,099900,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Lassen,CCC000027413,AGR50       ,010240,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000027698,AGR116      ,010310,C,00.50,00.50,N,B,Y,Y,Y,,,20191019
Lassen,CCC000027719,ART30       ,100220,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Lassen,CCC000028067,HUS32       ,210440,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000028255,IDS-115     ,083600,C,01.50,01.50,N,E,Y,Y,Y,,,20151201
Lassen,CCC000028473,ART-63      ,100900,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Lassen,CCC000028741,GSS119      ,099900,C,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000029244,GEOL5       ,191400,D,04.00,04.00,N,E,Y,Y,Y,,,20220604
Lassen,CCC000029440,GSS-96.02   ,099900,D,03.00,01.00,N,C,Y,Y,Y,,,20151208
Lassen,CCC000029575,CT-84C      ,095230,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000029672,GSS5903     ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000029843,ART-16      ,103000,D,03.00,03.00,N,C,Y,Y,Y,,,20160323
Lassen,CCC000029963,GSS-72.02   ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20151209
Lassen,CCC000088060,MUS7        ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20230709
Lassen,CCC000088096,FS9         ,213310,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000088200,BUS-82      ,051420,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
Lassen,CCC000088424,PE-34       ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20151215
Lassen,CCC000088960,NRA-121A    ,099900,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000089155,CT-75       ,095210,D,02.00,02.00,N,B,Y,Y,Y,,,20100315
Lassen,CCC000089176,AJ-25       ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20100315
Lassen,CCC000089467,SPOT-98.24  ,094610,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000089534,AGR-45A     ,011600,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000089539,GSS-57.04   ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20151204
Lassen,CCC000096748,CT-69       ,095210,D,03.00,03.00,N,B,Y,Y,Y,,,20100315
Lassen,CCC000096947,CG-160      ,493087,N,00.00,00.00,N,E,Y,A,Y,102,102,20160120
Lassen,CCC000097067,HE50A       ,130600,D,04.00,04.00,N,C,Y,Y,Y,,,20191019
Lassen,CCC000097514,PHYS-4B     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20151217
Lassen,CCC000097530,CS-55       ,070210,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Lassen,CCC000098046,AGR-111A    ,010240,C,02.00,02.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000105691,CS-49       ,493200,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
Lassen,CCC000105778,GSS-64.01   ,099900,D,01.00,01.00,N,C,Y,Y,Y,,,20151207
Lassen,CCC000114494,PE-78       ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20151216
Lassen,CCC000114551,NRA-145     ,099900,C,01.00,01.00,N,D,Y,Y,Y,,,20070917
Lassen,CCC000115425,PEAC-38     ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20151216
