College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
San Joaquin Delta,CCC000376126,BUS55       ,050800,D,03.00,03.00,N,D,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000595796,BUS57       ,051000,D,03.00,03.00,N,D,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000579902,BUS88       ,059900,D,03.00,03.00,N,C,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000367817,CAT92       ,094720,D,02.00,02.00,N,A,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000375988,CNT30E      ,070810,D,02.00,02.00,N,C,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000571571,COMM12      ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000588140,COMM4       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000371708,COMM5       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000651329,COMM50SS    ,150600,D,04.00,01.00,N,E,Y,Y,Y,,,20260311
San Joaquin Delta,CCC000648053,COUN1A      ,493013,D,02.00,02.00,N,E,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000346939,GUID071     ,493010,D,03.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000346970,AIND78J     ,095600,D,02.00,02.00,N,A,Y,Y,Y,,,20210709
San Joaquin Delta,CCC000347003,A J     054 ,210510,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347011,P T     081 ,123900,D,08.50,08.50,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347014,HS083B      ,125100,D,16.00,16.00,N,B,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000347024,SPED133     ,493031,N,00.00,00.00,B,E,Y,E,Y,,,20181119
San Joaquin Delta,CCC000347026,BIM     080D,051400,D,00.50,00.50,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347038,ENGR6       ,092400,D,04.00,04.00,N,B,Y,Y,Y,,,20200704
San Joaquin Delta,CCC000347048,FIRE    091V,213300,D,08.00,01.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347072,BUS     032 ,050630,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347118,PETHEORY048 ,083500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000347121,CONST   072C,095210,D,10.00,10.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347139,P E     022B,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347140,BUS     076A,050100,C,00.50,00.50,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347180,PSYCH45A    ,210400,D,02.00,02.00,N,D,Y,Y,Y,,,20191027
San Joaquin Delta,CCC000347193,FIRE090M    ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000347197,MUSIC002A   ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000347218,CSW     034 ,070900,D,03.00,03.00,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347225,A J     094A,210550,D,02.00,00.50,N,B,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347229,AUTO    090U,094900,D,01.00,00.50,N,C,Y,Y,Y,,,20080208
San Joaquin Delta,CCC000347230,AIND77A     ,095600,D,02.00,02.00,N,A,Y,Y,Y,,,20210709
San Joaquin Delta,CCC000347286,MUSIC   040D,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000347294,MATH054     ,170100,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363364,AJ25        ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20210525
San Joaquin Delta,CCC000363378,FIRE035     ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363397,MUSIC   027 ,100400,D,02.00,01.00,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363408,GERM050H    ,110300,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363411,DANCE   006 ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363416,FIRE094L    ,213300,C,01.00,01.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363428,PRINT075B   ,093600,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363450,BUS     073B,050630,D,01.00,01.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363460,BUS3        ,050200,D,05.00,05.00,N,B,Y,Y,Y,,,20210712
San Joaquin Delta,CCC000363464,A-IND   074B,095600,D,06.00,06.00,N,A,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363467,CSA     084A,070210,D,00.50,00.50,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363498,BIM     032 ,051400,D,00.00,00.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363508,E M     050H,093470,D,02.00,01.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363595,MUSIC   012B,100400,D,01.00,01.00,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363597,BIOL050H    ,040100,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363648,ECON3       ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20200723
San Joaquin Delta,CCC000363651,P E     032C,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363662,A-MEC   070A,095630,D,04.00,04.00,N,A,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000363671,FCS041      ,130320,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363694,FASHION022  ,130320,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363703,COMST10     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20191108
San Joaquin Delta,CCC000363711,SPCH015A    ,150600,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363719,ENGR046     ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000363752,ENG     039 ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000364547,ANTH1       ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20260124
San Joaquin Delta,CCC000657724,GEOG4       ,220610,D,03.00,03.00,N,D,Y,Y,Y,,,20260124
San Joaquin Delta,CCC000648227,COUN19      ,493010,D,01.00,01.00,N,E,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000648054,COUN1B      ,493013,D,02.00,02.00,N,E,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000651215,EM77        ,093470,C,05.00,05.00,N,C,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648229,EM90        ,093470,D,04.00,04.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651339,EM95SS      ,093470,C,04.00,01.00,N,D,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651340,ENGL50SS    ,150100,D,04.00,01.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648055,COUN3       ,493013,D,03.00,03.00,N,E,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000644964,DMEDIA9021  ,060400,N,00.00,00.00,N,D,Y,I,Y,112,126,20260217
San Joaquin Delta,CCC000548490,DRAMA44A    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000648228,DRAMA44B    ,100600,D,03.00,01.00,N,D,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000648069,ESL9059     ,493087,N,00.00,00.00,B,E,A,A,Y,80,90,20260217
San Joaquin Delta,CCC000648070,ESL9080     ,493086,N,00.00,00.00,B,E,D,A,Y,48,54,20260217
San Joaquin Delta,CCC000648071,ESL9081     ,493084,N,00.00,00.00,B,E,D,A,Y,48,54,20260217
San Joaquin Delta,CCC000648072,ESL9082     ,493087,N,00.00,00.00,B,E,D,A,Y,80,90,20260217
San Joaquin Delta,CCC000648073,ESL9083     ,493086,N,00.00,00.00,B,E,C,A,Y,48,54,20260217
San Joaquin Delta,CCC000648074,ESL9084     ,493084,N,00.00,00.00,B,E,C,A,Y,48,54,20260217
San Joaquin Delta,CCC000648075,ESL9085     ,493087,N,00.00,00.00,B,E,C,A,Y,80,90,20260217
San Joaquin Delta,CCC000648076,ESL9086     ,493086,N,00.00,00.00,B,E,B,A,Y,48,54,20260217
San Joaquin Delta,CCC000648077,ESL9087     ,493084,N,00.00,00.00,B,E,B,A,Y,48,54,20260217
San Joaquin Delta,CCC000648078,ESL9088     ,493087,N,00.00,00.00,B,E,B,A,Y,80,90,20260217
San Joaquin Delta,CCC000648079,ESL9089     ,493084,N,00.00,00.00,B,E,A,A,Y,48,54,20260217
San Joaquin Delta,CCC000648081,HS9036      ,120100,N,00.00,00.00,N,D,Y,I,Y,48,54,20260217
San Joaquin Delta,CCC000648082,HS9039      ,120100,N,00.00,00.00,N,D,Y,I,Y,32,36,20260217
San Joaquin Delta,CCC000648170,PEACTIV30A  ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000648171,PEACTIV30B  ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000658543,AJ35        ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20260214
San Joaquin Delta,CCC000658544,ANTH13      ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20260214
San Joaquin Delta,CCC000658545,BIM9        ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20260214
San Joaquin Delta,CCC000658546,BIM9009     ,051400,N,00.00,00.00,N,C,Y,I,Y,,,20260214
San Joaquin Delta,CCC000658753,ENGLC1003   ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658754,ETHNS43     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658755,ETHNS44     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658756,ETHNS45     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658757,ETHNS46     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658758,ETHNS54     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658759,ETHNS55     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658760,ETHNS56     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658761,GEOG4       ,220610,D,03.00,03.00,N,D,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658762,GEOL3       ,191400,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658763,HS10        ,120100,D,03.00,03.00,N,D,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658764,HUM66       ,150400,D,03.00,03.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658765,PEACTIV30C  ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658766,PEACTIV30D  ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000658767,PEACTIV4C   ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20260222
San Joaquin Delta,CCC000650761,HS89A       ,125100,C,06.00,06.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648158,HS89B       ,125100,C,03.00,03.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651073,HS89C       ,125100,C,06.00,06.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648160,HS89D       ,125100,C,03.00,03.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648161,HS89E       ,125100,C,03.00,03.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651074,HS89F       ,125100,C,09.00,09.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000359671,HS39        ,120100,D,02.00,02.00,N,D,Y,Y,Y,,,20260130
San Joaquin Delta,CCC000377673,FASHION8    ,130300,D,03.00,03.00,N,D,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000648164,ID3         ,130200,D,03.00,03.00,N,D,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000370617,CHEM10      ,190500,D,03.00,03.00,N,E,Y,Y,Y,,,20260129
San Joaquin Delta,CCC000569444,AGBUS5      ,011200,D,03.00,03.00,N,D,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000454095,COUN13      ,493010,D,01.00,01.00,N,E,Y,Y,Y,,,20260217
San Joaquin Delta,CCC000583563,AGBUS10     ,011200,D,03.00,03.00,N,D,Y,Y,Y,,,20260226
San Joaquin Delta,CCC000583564,AGBUS15     ,011200,D,03.00,03.00,N,D,Y,Y,Y,,,20260226
San Joaquin Delta,CCC000648230,ESL86       ,493086,D,03.00,03.00,N,E,B,Y,Y,,,20250426
San Joaquin Delta,CCC000648231,ESL88       ,493087,D,05.00,05.00,N,E,B,Y,Y,,,20250426
San Joaquin Delta,CCC000606021,AGBUS17     ,011200,D,02.00,02.00,N,D,Y,Y,Y,,,20260226
San Joaquin Delta,CCC000376747,AGBUS46     ,011200,D,03.00,03.00,N,C,Y,Y,Y,,,20260226
San Joaquin Delta,CCC000366174,COMMC1000   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648050,COUN101A    ,493013,N,00.00,00.00,N,E,Y,J,Y,,,20250530
San Joaquin Delta,CCC000648051,COUN101B    ,493013,N,00.00,00.00,N,E,Y,J,Y,,,20250530
San Joaquin Delta,CCC000648052,COUN103     ,493013,N,00.00,00.00,N,E,Y,J,Y,,,20250530
San Joaquin Delta,CCC000648226,COUN11      ,493010,D,00.50,00.50,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000365786,CS50SS      ,070100,D,04.00,01.00,N,C,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651330,CULART50SS  ,130630,D,04.00,01.00,N,C,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651331,DANCE50SS   ,100800,D,04.00,01.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651332,DIESL50SS   ,094720,D,04.00,01.00,N,B,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651333,DMEDIA50SS  ,060400,D,04.00,01.00,N,C,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648056,DRAMA125A   ,100700,N,00.00,00.00,N,E,Y,H,Y,,,20250530
San Joaquin Delta,CCC000648057,DRAMA125B   ,100600,N,00.00,00.00,N,C,Y,H,Y,,,20250530
San Joaquin Delta,CCC000648058,DRAMA144A   ,100700,N,00.00,00.00,N,E,Y,H,Y,,,20250530
San Joaquin Delta,CCC000648059,DRAMA144B   ,100600,N,00.00,00.00,N,C,Y,H,Y,,,20250530
San Joaquin Delta,CCC000648060,DRAMA147A   ,100700,N,00.00,00.00,N,E,Y,H,Y,,,20250530
San Joaquin Delta,CCC000648061,DRAMA147B   ,100600,N,00.00,00.00,N,C,Y,H,Y,,,20250530
San Joaquin Delta,CCC000648062,DRAMA152    ,100700,N,00.00,00.00,N,E,Y,H,Y,,,20250530
San Joaquin Delta,CCC000651334,DRAMA50SS   ,100700,D,04.00,01.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651335,ECE50SS     ,130500,D,04.00,01.00,N,D,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651336,ECON50SS    ,220400,D,04.00,01.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651077,MATH1EX     ,170100,D,07.00,07.00,N,E,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000651078,MATH20EX    ,170100,D,03.50,03.50,N,E,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000365295,ANTHR2      ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20260227
San Joaquin Delta,CCC000375859,ANTHR2L     ,220200,D,01.00,01.00,N,E,Y,Y,Y,,,20260227
San Joaquin Delta,CCC000549880,ATH44       ,083550,D,01.50,00.50,N,E,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000562999,ATH48       ,083550,D,01.50,00.50,N,E,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000588027,ATH49       ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000366766,ATH51       ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000365205,ATH67       ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000381035,AUTOMECH72  ,094800,D,03.00,03.00,N,D,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000651324,AUTOMECH87B ,094800,D,04.00,01.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000379580,AUTOMECH90A ,094800,D,04.00,04.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000380241,AUTOMECH90B ,094800,D,01.50,01.50,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000525820,AUTOMECH92  ,094800,D,06.00,06.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000618081,AUTOMECH95  ,094800,D,06.00,06.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000595787,AUTOMECH96A ,094800,D,06.00,06.00,N,B,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000350408,AUTOMECH96B ,094800,D,06.00,06.00,N,B,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000347430,AUTOMECH97  ,094800,D,06.00,06.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000358952,BIM43       ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000381305,BIOL32      ,041000,D,05.00,05.00,N,E,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000574831,BUS11       ,050210,D,04.00,04.00,N,D,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000621078,BUS12       ,050640,D,03.00,03.00,N,D,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000595792,BUS26       ,050500,D,03.00,03.00,N,D,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000562998,BUS29       ,050640,D,03.00,03.00,N,D,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000621079,BUS32       ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000621080,BUS35       ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000588028,BUS36       ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000349986,BUS37       ,050630,D,03.00,03.00,N,C,Y,Y,Y,,,20260305
San Joaquin Delta,CCC000658990,ATH56       ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20260307
San Joaquin Delta,CCC000379835,SP ED   082 ,493030,C,00.50,00.50,B,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000379843,MUSIC128    ,100400,N,00.00,00.00,N,E,Y,H,Y,64,72,20200722
San Joaquin Delta,CCC000379858,ART050H     ,100100,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000379867,MECH    050A,095630,D,08.00,08.00,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000379872,MUSIC041D   ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000379879,P E     004A,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000379886,FKC199K     ,130570,N,00.00,00.00,N,D,Y,I,Y,,,20191019
San Joaquin Delta,CCC000379921,AUTO    090L,094900,D,01.00,01.00,N,C,Y,Y,Y,,,20080208
San Joaquin Delta,CCC000379933,GREEK053    ,111000,D,02.50,02.50,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000379954,LIBRY3      ,160100,D,03.00,03.00,N,E,Y,Y,Y,,,20200704
San Joaquin Delta,CCC000379999,PHYSC10     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20190926
San Joaquin Delta,CCC000380008,FCS012      ,130200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000380014,DIESL   082B,094700,D,02.50,02.50,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000380038,LD078B      ,493032,C,02.00,00.50,B,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000380053,POLSC015N   ,220700,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000380057,P E     038U,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000380059,PEACTIV101  ,083580,N,00.00,00.00,B,E,Y,E,Y,0,0,20191019
San Joaquin Delta,CCC000380074,CHIN    054 ,110700,D,02.50,02.50,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000380076,PSYCH   020B,200100,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000380089,COUN14      ,493013,D,01.00,01.00,N,E,Y,Y,Y,,,20210523
San Joaquin Delta,CCC000380097,CDEV070     ,130500,D,01.00,01.00,N,D,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000380115,PEACTIV010C ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000380124,CS      069V,070100,D,08.00,01.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000380163,SPED144     ,493031,N,00.00,00.00,B,D,Y,E,Y,,,20181119
San Joaquin Delta,CCC000380168,BUS43       ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20200626
San Joaquin Delta,CCC000380194,MUSIC3B     ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20200717
San Joaquin Delta,CCC000380215,AIND78B     ,095600,D,01.00,01.00,N,A,Y,Y,Y,,,20210709
San Joaquin Delta,CCC000648157,HS89A       ,125100,C,06.50,06.00,N,B,Y,Y,Y,,,20250106
San Joaquin Delta,CCC000648159,HS89C       ,125100,C,06.50,06.00,N,B,Y,Y,Y,,,20250106
San Joaquin Delta,CCC000648162,HS89F       ,125100,C,10.00,09.00,N,B,Y,Y,Y,,,20250106
San Joaquin Delta,CCC000648163,HS96        ,120510,C,05.50,05.00,N,C,Y,Y,Y,,,20250106
San Joaquin Delta,CCC000648167,MATH13EX    ,170100,D,05.50,05.00,N,E,Y,Y,Y,,,20250106
San Joaquin Delta,CCC000648168,MATH1EX     ,170100,D,07.50,07.00,N,E,Y,Y,Y,,,20250106
San Joaquin Delta,CCC000648169,MATH20EX    ,170100,D,04.00,03.50,N,E,Y,Y,Y,,,20250106
San Joaquin Delta,CCC000651276,JAPAN2      ,110800,D,04.00,04.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648166,MATH102     ,170200,N,00.00,00.00,B,E,Y,C,Y,,,20250530
San Joaquin Delta,CCC000648172,PEACTIV4A   ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000649759,MATH14      ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000648173,PEACTIV4B   ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000658400,PLANT26     ,010300,D,03.00,03.00,N,D,Y,Y,Y,,,20260206
San Joaquin Delta,CCC000581244,ECE75       ,130500,D,02.00,02.00,N,D,Y,Y,Y,,,20210611
San Joaquin Delta,CCC000614694,EDUC13      ,080200,D,03.00,03.00,N,C,Y,Y,Y,,,20210121
San Joaquin Delta,CCC000614695,EDUC14      ,080200,D,03.00,03.00,N,C,Y,Y,Y,,,20210121
San Joaquin Delta,CCC000614696,EDUC70      ,080200,D,02.00,02.00,N,C,Y,Y,Y,,,20200228
San Joaquin Delta,CCC000614699,HS85        ,122500,D,01.00,01.00,N,D,Y,Y,Y,,,20200228
San Joaquin Delta,CCC000614700,LAW26       ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20240224
San Joaquin Delta,CCC000614701,MUSIC56     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20240524
San Joaquin Delta,CCC000614702,MUSIC9      ,100400,C,03.00,03.00,N,E,Y,Y,Y,,,20240524
San Joaquin Delta,CCC000614766,AUTOMECH77A ,094800,C,01.00,01.00,N,C,Y,Y,Y,,,20200611
San Joaquin Delta,CCC000614767,COUN70      ,493013,D,01.00,01.00,N,E,Y,Y,Y,,,20210523
San Joaquin Delta,CCC000614768,LAW70       ,170200,C,02.00,02.00,N,E,A,Y,Y,,,20200229
San Joaquin Delta,CCC000631522,CSN44       ,070800,D,03.00,03.00,N,C,Y,Y,Y,,,20221006
San Joaquin Delta,CCC000631525,CSN46       ,070800,D,03.00,03.00,N,C,Y,Y,Y,,,20221012
San Joaquin Delta,CCC000651327,CHEM50SS    ,190500,D,04.00,01.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000589105,ENGL43C     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20250918
San Joaquin Delta,CCC000613090,ENGL43D     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20250918
San Joaquin Delta,CCC000356426,ENGL45      ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20250918
San Joaquin Delta,CCC000651328,CHEM51SS    ,190500,D,04.00,01.00,N,E,Y,Y,Y,,,20250530
San Joaquin Delta,CCC000651357,ID50SS      ,130200,D,04.00,01.00,N,D,Y,Y,Y,,,20250529
San Joaquin Delta,CCC000345743,CS      072B,070800,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000345764,GUID001     ,493011,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000345778,CDEV076     ,130500,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000345787,ART     005A,100210,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000345795,HEC077I     ,130500,D,01.00,01.00,N,D,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000345797,GRART004B   ,103000,D,02.00,02.00,N,D,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000345804,BIM     080B,051400,D,00.50,00.50,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000345825,ENGR    004 ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000345847,DANCE5A     ,100800,D,03.00,03.00,N,E,Y,Y,Y,,,20191121
San Joaquin Delta,CCC000345903,PRINT063    ,093600,D,05.00,05.00,N,C,Y,Y,Y,,,20191019
San Joaquin Delta,CCC000345920,P E     046 ,083560,D,03.00,03.00,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000345921,AIND78H     ,095600,D,02.00,02.00,N,A,Y,Y,Y,,,20210709
San Joaquin Delta,CCC000345926,CONST   072A,095210,D,10.00,10.00,N,D,Y,Y,Y,,,20070919
San Joaquin Delta,CCC000345936,FCS049A     ,130310,D,03.00,02.00,N,C,Y,Y,Y,,,20191019
