College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Ohlone,CCC000002094,CS-212O     ,070100,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000002186,MM203       ,061410,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Ohlone,CCC000002304,CS-214H     ,070100,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000002354,GEOG201     ,220600,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000002469,PE-183A2    ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000002719,CS-212AI    ,070100,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000003254,ECS-118     ,130500,D,02.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000003310,ECS-307C    ,130500,D,05.00,05.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000003339,CHEM-213A   ,190500,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000003383,AJ203       ,210500,D,03.00,00.00,N,D,Y,Y,Y,,,20191019
Ohlone,CCC000003803,ATT-161V    ,302020,D,03.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000003850,ATT-195     ,493200,D,04.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000004101,FT235A125   ,213300,D,12.50,12.50,N,B,Y,Y,Y,,,20191019
Ohlone,CCC000004337,BRDC-213A   ,060400,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000004344,CFS-150     ,130100,D,03.00,00.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000004465,CS137       ,070710,D,04.00,04.00,N,C,Y,Y,Y,,,20191019
Ohlone,CCC000004770,CNET-155A   ,070810,D,04.00,04.00,N,C,Y,Y,Y,,,20131219
Ohlone,CCC000004968,ASL155      ,085000,D,03.00,03.00,N,E,Y,Y,Y,,,20200311
Ohlone,CCC000005148,PE-144A3    ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000005366,TYPE-165    ,060200,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000005420,CS-213E     ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000005799,ART-211A    ,100200,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000005941,MM-213B     ,069900,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000012278,PE-210H     ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000012362,AJ-270D     ,210500,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000012681,AJ123       ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Ohlone,CCC000012697,PE-212A     ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000012796,MUS-194     ,100400,D,01.00,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000012819,PE-133A2    ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000013343,MM-103A     ,061410,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000013476,BOA-172A    ,051400,D,01.50,01.50,N,B,Y,Y,Y,,,20070917
Ohlone,CCC000013586,CAOT-213A   ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000014244,PE351A3     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20200310
Ohlone,CCC000014427,SLS-188C    ,085000,D,04.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000014439,CAOT-120    ,051400,C,01.50,01.50,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000014491,MUS-211Y    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000014893,PORT-121A   ,111900,D,03.00,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000014917,DEAF-213B   ,493030,C,03.00,03.00,B,E,Y,Y,Y,,,20070917
Ohlone,CCC000015261,PE-265      ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000015382,MA-151A     ,120800,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000015614,SPED-212    ,080900,D,02.00,02.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000650088,COUN901     ,493014,N,00.00,00.00,N,E,Y,C,Y,,,20250313
Ohlone,CCC000650089,COUN902     ,493014,N,00.00,00.00,B,E,Y,C,Y,,,20250313
Ohlone,CCC000650090,COUN903     ,493014,N,00.00,00.00,B,E,Y,C,Y,,,20250313
Ohlone,CCC000650091,COUN910     ,493014,N,00.00,00.00,B,E,Y,C,Y,,,20250313
Ohlone,CCC000650092,COUN920     ,493014,N,00.00,00.00,B,E,Y,C,Y,,,20250313
Ohlone,CCC000649224,ENGL902     ,150100,N,00.00,00.00,B,E,B,C,Y,,,20250313
Ohlone,CCC000649225,ENGL903     ,150100,N,00.00,00.00,B,E,B,C,Y,,,20250313
Ohlone,CCC000279536,AJ101       ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20260111
Ohlone,CCC000184922,BIOL101B    ,040100,D,05.00,05.00,N,E,Y,Y,Y,,,20260111
Ohlone,CCC000522139,BIOT101     ,043000,D,03.00,03.00,N,C,Y,Y,Y,,,20260111
Ohlone,CCC000582539,BIOT104A    ,043000,D,01.00,01.00,N,C,Y,Y,Y,,,20260111
Ohlone,CCC000000001,DRAM-122    ,100700,D,04.00,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000000137,ECS-109     ,130500,D,03.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000000250,ENGT-131    ,095300,D,03.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000000393,BRDC123B    ,060410,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Ohlone,CCC000000687,TD-195A2    ,100600,D,02.00,02.00,N,C,Y,Y,Y,,,20100204
Ohlone,CCC000000848,ART116C     ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20230107
Ohlone,CCC000000882,PE-128      ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000001702,MM-213      ,070100,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000001758,CS-103      ,070100,D,03.00,00.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000001875,IS-213      ,220100,C,03.00,00.00,B,E,Y,Y,Y,,,20100621
Ohlone,CCC000010155,CO-211A     ,210500,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000010709,PE-371A3    ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000011013,BA-213      ,050200,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000011537,TD-145A2    ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000011619,BOA-110     ,051400,D,03.00,00.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000650158,ART135      ,101200,D,02.00,02.00,N,C,Y,Y,Y,,,20250202
Ohlone,CCC000618220,COUN900     ,493014,N,00.00,00.00,B,E,Y,C,Y,,,20250202
Ohlone,CCC000649978,COUN921     ,493010,N,00.00,00.00,N,E,Y,J,Y,,,20250202
Ohlone,CCC000649979,COUN930     ,050400,N,00.00,00.00,N,D,Y,J,Y,,,20250202
Ohlone,CCC000649980,COUN940     ,493011,N,00.00,00.00,N,E,Y,J,Y,,,20250202
Ohlone,CCC000633638,COUN942     ,126100,N,00.00,00.00,N,C,Y,J,Y,,,20250202
Ohlone,CCC000633639,COUN943     ,126100,N,00.00,00.00,N,C,Y,J,Y,,,20250202
Ohlone,CCC000650159,KIN257      ,083500,D,03.00,03.00,N,E,Y,Y,Y,,,20250202
Ohlone,CCC000650197,MUS160F     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000576903,MUS161E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000576654,MUS161F     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000557004,MUS162F     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000092872,TD120A      ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650163,TD120B      ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650199,TD141A      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650200,TD141B      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650201,TD142A      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650202,TD142B      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650203,TD142C      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650204,TD143A      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650205,TD143B      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650206,TD143C      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000116042,TD148A      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000243490,TD148B      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250207
Ohlone,CCC000650209,TD153       ,100600,D,02.00,02.00,N,D,Y,Y,Y,,,20250207
Ohlone,CCC000022582,CS-186A     ,070810,D,03.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000022857,PE-213      ,083500,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000022950,ART-139     ,100200,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000023115,NUR-119     ,123010,D,02.00,02.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000023296,PE-210AD    ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000023504,ART-119B    ,100200,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000023547,LSP-212C    ,493032,C,02.00,02.00,B,D,Y,Y,Y,,,20070917
Ohlone,CCC000023818,INT-120B    ,080900,D,03.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000023888,PE-157      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000023968,BSM-102D    ,050630,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000024080,PE-170      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000024255,PE301A3     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20240127
Ohlone,CCC000024295,DEAF-143    ,493030,C,02.00,02.00,B,E,A,Y,Y,,,20080626
Ohlone,CCC000008045,CS-212B     ,070100,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000008060,SLS-150     ,085000,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000008205,ELEC-101    ,093420,D,02.00,00.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000008913,CS-111      ,070100,D,04.00,04.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000009051,AJ-271G     ,210500,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000009190,PHYS120A    ,190200,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000009254,PE-153A2    ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000009536,PE-211K     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000009562,CFS-104B    ,130100,D,03.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000078666,MUS111B     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650161,MUS111D     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650193,MUS160B     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650194,MUS160C     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650195,MUS160D     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650196,MUS160E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650198,MUS161A     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000576655,MUS161B     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000576902,MUS161C     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000576904,MUS161D     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000578278,MUS162A     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000578277,MUS162B     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000556980,MUS162C     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000556979,MUS162D     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000556978,MUS162E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650162,TD110       ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650207,TD144A      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000650208,TD144B      ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Ohlone,CCC000020906,PE-226      ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000020931,SPCH-211    ,150600,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000020999,BRDC127D    ,060410,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Ohlone,CCC000021096,TD-212E     ,100700,C,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000021384,MUS-211AD   ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000021582,PE-340A2    ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000021994,CS-159A     ,070100,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000022131,GA-169B     ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20090224
Ohlone,CCC000022213,BA144       ,050630,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Ohlone,CCC000022265,CS-129A     ,070700,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000022403,MUS-212B    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000030439,CFS-159B    ,130200,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000030584,BOA-191C    ,051400,D,01.00,00.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000030621,ART100      ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000576810,LE223A3     ,210500,C,03.00,03.00,N,C,Y,Y,Y,,,20250414
Ohlone,CCC000632649,LE227A24    ,210500,C,24.00,24.00,N,B,Y,Y,Y,,,20250414
Ohlone,CCC000572190,LE229A4     ,210500,C,04.00,04.00,N,C,Y,Y,Y,,,20250414
Ohlone,CCC000650877,LE230A6     ,210500,D,06.00,06.00,N,B,Y,Y,Y,,,20250414
Ohlone,CCC000031089,LE237A1     ,210500,D,01.00,01.00,N,B,Y,Y,Y,,,20250414
Ohlone,CCC000649706,CNET143     ,070710,D,04.00,04.00,N,C,Y,Y,Y,,,20250914
Ohlone,CCC000649707,CNET144     ,070710,D,04.00,04.00,N,C,Y,Y,Y,,,20250914
Ohlone,CCC000649984,MATH100     ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250914
Ohlone,CCC000649985,PE363B3     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20250914
Ohlone,CCC000189769,TD179       ,100600,D,03.00,03.00,N,D,Y,Y,Y,,,20250914
Ohlone,CCC000257273,ASL150      ,085000,D,03.00,03.00,N,E,Y,Y,Y,,,20260109
Ohlone,CCC000656790,ASL921      ,085000,N,00.00,00.00,N,E,Y,H,Y,,,20260109
Ohlone,CCC000656791,ASL922      ,085000,N,00.00,00.00,N,E,Y,H,Y,,,20260109
Ohlone,CCC000006193,ECS-105     ,130500,D,02.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000006556,CAOT-110A1  ,051400,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000006565,PTA-213A    ,122200,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000006874,LS-211      ,160100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000007024,BOA-211     ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000007534,PE-163A2    ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000007682,ENGI-111    ,090100,D,03.00,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000007700,TD144A      ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20230107
Ohlone,CCC000007765,INT-212     ,080900,D,02.00,02.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000019037,BRDC135     ,060420,D,03.00,03.00,N,D,Y,Y,Y,,,20200205
Ohlone,CCC000019115,BOT-213     ,051400,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000019176,TD-143B3    ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000019210,PE-196      ,083500,D,01.50,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000019384,AJ-195A3    ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20100204
Ohlone,CCC000019602,PE350A2     ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000019891,MUS-211L    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000019966,CS-158      ,070800,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000020021,MUS-213E    ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000020364,TD121C      ,100700,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000020370,ENGT-195    ,493200,D,04.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000020401,TD-148B     ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000020520,ELEC-195    ,493200,D,04.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000028788,INT-213A1   ,080900,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000029133,PE-368A3    ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000029407,ART-113     ,100200,D,03.00,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000029427,ENGI140     ,090100,D,04.00,03.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000029688,PE300A2     ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20230122
Ohlone,CCC000029780,CAOT-188    ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000029818,PE397A2     ,083580,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000029923,BRDC-213D   ,060400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000030065,MM-118      ,061440,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000030095,MM-195A3    ,061410,D,03.00,03.00,N,D,Y,Y,Y,,,20101207
Ohlone,CCC000030127,MUS160A     ,100400,D,01.00,00.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000030160,BOA-165     ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000039584,ELEC-156B   ,093420,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000039889,DEAF-213E   ,493030,C,03.00,03.00,B,E,Y,Y,Y,,,20070917
Ohlone,CCC000040098,PE-268      ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000040246,PHIL-213    ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000040284,FM-203      ,130320,D,03.00,00.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000040750,ASL159      ,085010,D,01.00,01.00,N,C,Y,Y,Y,,,20220327
Ohlone,CCC000040901,SPCH-120    ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000100214,MUS-213A    ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000100256,RE-195      ,493200,D,04.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000100306,MUS-211H    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000100345,PD-210B     ,493010,C,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000100421,ECS306      ,130500,D,03.00,03.00,N,D,Y,Y,Y,,,20200615
Ohlone,CCC000100461,ECS325A     ,130500,C,00.50,00.50,N,D,Y,Y,Y,,,20191019
Ohlone,CCC000100516,SOC203      ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000100666,DRAF-101    ,095300,D,04.00,00.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000100705,BA-109A     ,050200,D,01.50,01.50,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000100711,NUR-213     ,123010,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000100740,DRAM-182    ,100700,D,05.00,05.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000100748,PE-177C     ,083500,D,01.50,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000100953,INT-121A    ,080900,D,03.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000101106,BSM-103C    ,050630,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000101116,RTM-150B    ,121000,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000101233,CE-185A1    ,493200,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000101352,MATH188     ,170100,D,05.00,00.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000101458,CHEM-211    ,190500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000101554,PE-222      ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000101630,PE-166      ,083500,D,01.50,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000101653,ART148      ,101100,D,03.00,00.00,N,C,Y,Y,Y,,,20191019
Ohlone,CCC000101696,SPAN202     ,110500,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000162658,PD-213C     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000163061,ELEC-155B   ,093420,D,04.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000163278,RTV-140D    ,060300,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000163417,PE360A3     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20200310
Ohlone,CCC000163530,BSM-106D    ,050630,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000163773,ANTH-101L   ,220200,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000163878,FM-113      ,130320,D,03.00,00.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000216647,BSM-105B    ,050630,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000216848,BRDC124     ,060410,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Ohlone,CCC000216959,AH-113      ,120800,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000217034,SPCH-213    ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000217120,TD-100L     ,100700,C,00.00,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000217158,CS-186C     ,070810,D,03.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000217218,SPCH203     ,150600,D,03.00,00.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000217290,MUS-212D    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000217396,MM-195      ,493200,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000217466,MUS-211AF   ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000217573,ART157      ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000217699,RTV-180     ,060400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000217780,ART-134A    ,101100,D,03.00,00.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000264828,MUS-211T    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000264831,DEAF332     ,080900,D,03.00,03.00,N,D,Y,Y,Y,,,20220327
Ohlone,CCC000265079,HIST141     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20210129
Ohlone,CCC000649983,FT227A3     ,213350,D,03.00,03.00,N,C,Y,Y,Y,,,20250418
Ohlone,CCC000265394,ANTH104     ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20210129
Ohlone,CCC000265644,PE-195A2    ,083560,D,02.00,02.00,N,C,Y,Y,Y,,,20100204
Ohlone,CCC000306679,BSM-195A4   ,050600,D,04.00,04.00,N,D,Y,Y,Y,,,20090209
Ohlone,CCC000306812,HIST-114    ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000306966,AH-114      ,120800,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000306984,PE-166A2    ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Ohlone,CCC000307075,DEAF-313    ,080900,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Ohlone,CCC000307128,BRDC-129    ,060410,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Ohlone,CCC000307140,TD100       ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000307314,BRDC142     ,060420,D,03.00,03.00,N,C,Y,Y,Y,,,20210129
Ohlone,CCC000343520,MUS108      ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20241004
Ohlone,CCC000343628,TD-211I     ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20070919
Ohlone,CCC000343685,DEAF203     ,080900,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Ohlone,CCC000343793,CNET135     ,070810,D,02.00,02.00,N,C,Y,Y,Y,,,20200202
Ohlone,CCC000343890,NUR-210C    ,123010,C,00.50,00.50,N,C,Y,Y,Y,,,20070919
Ohlone,CCC000343984,ESL-125     ,493014,C,02.00,02.00,B,E,Y,Y,Y,,,20100302
