College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Chaffey,CCC000415016,DRAFT41     ,095340,D,04.00,04.00,N,C,Y,Y,Y,,,20250524
Chaffey,CCC000425220,ANTHRO3     ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250309
Chaffey,CCC000419093,BIOL20      ,041000,D,04.00,04.00,N,E,Y,Y,Y,,,20250309
Chaffey,CCC000583090,AMT400      ,095040,D,05.00,05.00,N,C,Y,Y,Y,,,20250524
Chaffey,CCC000410767,IET421      ,093440,D,01.50,01.50,N,C,Y,Y,Y,,,20250524
Chaffey,CCC000616513,RE470       ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000608568,RE472       ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000396512,BUSMGT480   ,050630,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000422010,BUSMKT13    ,050940,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000408939,AUTOTEC431  ,094800,D,05.00,05.00,N,C,Y,Y,Y,,,20251112
Chaffey,CCC000528475,AUTOTEC432  ,094800,D,05.00,05.00,N,C,Y,Y,Y,,,20251112
Chaffey,CCC000649119,BIOL42      ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Chaffey,CCC000648512,BIOL42L     ,040100,D,01.00,01.00,N,E,Y,Y,Y,,,20251109
Chaffey,CCC000649120,BIOL44      ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20251109
Chaffey,CCC000647459,FIRETEC97A  ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20251109
Chaffey,CCC000647443,FIRETEC97B  ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20251109
Chaffey,CCC000647460,FIRETEC97C  ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251109
Chaffey,CCC000647461,FIRETEC97D  ,213300,D,04.00,04.00,N,C,Y,Y,Y,,,20251109
Chaffey,CCC000407579,HUMAN20     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Chaffey,CCC000397358,HUMAN5      ,150400,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Chaffey,CCC000425453,HUMAN6      ,150400,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Chaffey,CCC000634291,IET400      ,093500,D,02.00,02.00,N,C,Y,Y,Y,,,20251109
Chaffey,CCC000653633,DENTAL601   ,124010,N,00.00,00.00,N,C,Y,I,Y,,,20250709
Chaffey,CCC000419536,CJ1         ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20251112
Chaffey,CCC000582600,CUL440      ,130630,D,04.00,04.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000601408,DENTAL455   ,124010,D,02.00,02.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000650868,DENTAL635   ,124010,N,00.00,00.00,N,C,Y,I,Y,,,20251118
Chaffey,CCC000654652,FASHD62     ,130330,D,02.00,02.00,N,B,Y,Y,Y,,,20251118
Chaffey,CCC000559854,FIRETEC10   ,213310,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000404007,GERO11      ,130900,D,03.00,03.00,N,D,Y,Y,Y,,,20251118
Chaffey,CCC000587336,GERO18      ,130900,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000397736,GERO22      ,130900,D,03.00,03.00,N,D,Y,Y,Y,,,20251118
Chaffey,CCC000412967,GERO23      ,130900,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000574367,GERO400     ,130900,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000590797,GERO455     ,130900,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000618290,GERO98A     ,130900,D,01.00,01.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000618291,GERO98B     ,130900,D,02.00,02.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000618292,GERO98C     ,130900,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000390459,HOTFS10     ,130700,D,03.00,03.00,N,D,Y,Y,Y,,,20251118
Chaffey,CCC000415814,HOTFS14     ,130710,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000542269,HOTFS21     ,130710,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000554068,HOTFS32     ,130700,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000611056,HOTFS42     ,130720,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000405633,HOTFS428    ,130700,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000542270,HOTFS431    ,130700,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000392132,HOTFS482    ,130700,D,01.00,01.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000655021,HS15        ,120100,D,03.00,03.00,N,D,Y,Y,Y,,,20251118
Chaffey,CCC000629585,HS20        ,123010,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000623682,HS30        ,122300,D,03.00,03.00,N,D,Y,Y,Y,,,20251118
Chaffey,CCC000602997,ID15        ,130200,D,03.00,03.00,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000393343,ID16        ,130200,D,02.50,02.50,N,C,Y,Y,Y,,,20251118
Chaffey,CCC000423869,PHYS20B     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20251118
Chaffey,CCC000639482,HS601       ,123000,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000411759,FIRETEC1    ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000578780,FIRETEC11   ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000578781,FIRETEC12   ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000396841,FIRETEC2    ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000424585,FIRETEC3    ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000409798,FIRETEC4    ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000560280,FIRETEC420  ,213350,D,02.00,02.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000560279,FIRETEC421  ,213350,D,02.00,02.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000560278,FIRETEC422  ,213350,D,01.50,01.50,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000560281,FIRETEC423  ,213350,D,01.00,01.00,N,B,Y,Y,Y,,,20251116
Chaffey,CCC000394531,FIRETEC5    ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000422508,FIRETEC6    ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000446316,FIRETEC7    ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000536139,FIRETEC9    ,213300,C,03.00,03.00,N,C,Y,Y,Y,,,20251116
Chaffey,CCC000418545,HISTC1001   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250813
Chaffey,CCC000403293,HISTC1002   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250813
Chaffey,CCC000605795,ACCTG430    ,050200,D,04.00,04.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000392134,ACCTG435    ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000622489,ACCTG485    ,050200,D,04.00,04.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000589997,ACCTG70     ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000408138,ACCTGFS442  ,050400,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000401993,ACCTGFS453  ,050210,D,04.00,04.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000424124,ACCTGFS465  ,050200,D,03.00,03.00,N,D,Y,Y,Y,,,20251220
Chaffey,CCC000446298,ARTH11      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251220
Chaffey,CCC000413224,ARTH19      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251220
Chaffey,CCC000501580,ARTH7       ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251220
Chaffey,CCC000421623,ARTH9       ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251220
Chaffey,CCC000425898,ARTHC1100   ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251220
Chaffey,CCC000395910,ARTHC1200   ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251220
Chaffey,CCC000423908,BUS10       ,050100,D,03.00,03.00,N,D,Y,Y,Y,,,20251220
Chaffey,CCC000611928,BUS60       ,050600,D,03.00,03.00,N,D,Y,Y,Y,,,20251220
Chaffey,CCC000412365,BUS61       ,050800,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000556287,BUS88       ,060700,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000560555,BUSL10      ,140100,D,03.00,03.00,N,E,Y,Y,Y,,,20251220
Chaffey,CCC000390805,BUSL28A     ,050500,D,03.00,03.00,N,D,Y,Y,Y,,,20251220
Chaffey,CCC000419061,BUSL28B     ,050500,D,03.00,03.00,N,C,Y,Y,Y,,,20251220
Chaffey,CCC000446304,BUSL400     ,140200,D,03.00,03.00,N,D,Y,Y,Y,,,20251220
Chaffey,CCC000656462,KINACT650   ,083510,N,00.00,00.00,N,E,Y,H,Y,,,20260107
Chaffey,CCC000656463,PS25        ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20260107
Chaffey,CCC000525296,ESL650      ,493090,N,00.00,00.00,N,E,Y,B,Y,,,20251202
Chaffey,CCC000409332,ACCTG460    ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20260109
Chaffey,CCC000636220,CISCYBR404  ,070800,D,04.00,04.00,N,B,Y,Y,Y,,,20260109
Chaffey,CCC000656997,COMPSCI11   ,070710,D,03.00,03.00,N,B,Y,Y,Y,,,20260109
Chaffey,CCC000656443,COMPSCI20   ,070600,D,03.00,03.00,N,E,Y,Y,Y,,,20260109
Chaffey,CCC000536384,COMPSCI3    ,070600,C,03.00,03.00,N,E,Y,Y,Y,,,20260109
Chaffey,CCC000590355,COMPSCI4    ,070600,D,03.00,03.00,N,E,Y,Y,Y,,,20260109
Chaffey,CCC000656998,COMPSCI5    ,070710,D,03.00,03.00,N,B,Y,Y,Y,,,20260109
Chaffey,CCC000656444,COMPSCI6    ,070600,D,03.00,03.00,N,E,Y,Y,Y,,,20260109
Chaffey,CCC000656999,ITIS10      ,070200,D,03.00,03.00,N,D,Y,Y,Y,,,20260109
Chaffey,CCC000657000,ITIS14      ,070200,D,01.50,01.50,N,D,Y,Y,Y,,,20260109
Chaffey,CCC000657001,ITIS30      ,070710,D,03.00,03.00,N,D,Y,Y,Y,,,20260109
Chaffey,CCC000394631,CDE3        ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20251115
Chaffey,CCC000399542,ENGL68      ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251019
Chaffey,CCC000591859,ENGL70A     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251019
Chaffey,CCC000591860,ENGL70B     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251019
Chaffey,CCC000602440,CIS4        ,070200,D,01.50,01.50,N,D,Y,Y,Y,,,20260107
Chaffey,CCC000602441,CIS50       ,070810,D,03.00,03.00,N,D,Y,Y,Y,,,20260107
Chaffey,CCC000517737,SPAN14      ,110500,D,03.00,03.00,N,E,Y,Y,Y,,,20250524
Chaffey,CCC000389159,SPAN2       ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20250524
Chaffey,CCC000656456,ITIS97B     ,070200,D,02.00,02.00,N,C,Y,Y,Y,,,20251222
Chaffey,CCC000656457,ITIS97C     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20251222
Chaffey,CCC000396331,ENGL-76     ,150300,D,04.00,03.00,N,E,Y,Y,Y,,,20070919
Chaffey,CCC000396334,AERO-552G   ,095020,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Chaffey,CCC000396359,PEACT-24A   ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20080206
Chaffey,CCC000396371,TAT-70A     ,060420,D,02.00,02.00,N,B,Y,Y,Y,,,20070919
Chaffey,CCC000396418,MUSIC-62    ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20140926
Chaffey,CCC000396430,CS-21       ,070710,D,04.00,03.00,N,C,Y,Y,Y,,,20070919
Chaffey,CCC000396442,HS-460      ,122300,D,00.50,00.50,N,C,Y,Y,Y,,,20080206
Chaffey,CCC000396486,ELECT-5     ,093400,D,04.00,03.00,N,D,Y,Y,Y,,,20070919
Chaffey,CCC000396642,TQM-461     ,050600,D,04.00,04.00,N,D,Y,Y,Y,,,20070919
Chaffey,CCC000396656,HS-11       ,122300,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Chaffey,CCC000396670,PETEAM-21B  ,083510,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Chaffey,CCC000396702,ESC-8       ,193000,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
Chaffey,CCC000417524,ASTRON26    ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000582593,ASTRON27    ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000626911,ASTRON27L   ,191100,D,01.00,01.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000398837,ASTRON35    ,191100,D,04.00,04.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000397114,BIOL1       ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000409847,BIOL10      ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000423003,BIOL12      ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000424938,BIOL2       ,030100,D,04.00,04.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000402177,SPAN4       ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20250524
Chaffey,CCC000389084,BIOL22      ,041000,D,04.00,04.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000417342,BIOL23      ,040300,D,03.00,03.00,N,E,Y,Y,Y,,,20250106
Chaffey,CCC000407683,SPAN4SS     ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20250524
Chaffey,CCC000395924,ART32       ,100210,D,04.00,04.00,N,E,Y,Y,Y,,,20251022
Chaffey,CCC000408806,ART34       ,100210,D,04.00,04.00,N,E,Y,Y,Y,,,20251022
Chaffey,CCC000384839,MUSIC26     ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20260122
Chaffey,CCC000607703,ED10        ,080210,D,03.00,03.00,N,C,Y,Y,Y,,,20250309
Chaffey,CCC000405786,FASHD72     ,130310,D,02.00,02.00,N,C,Y,Y,Y,,,20251115
Chaffey,CCC000627179,FASHD89     ,130310,D,03.00,03.00,N,B,Y,Y,Y,,,20251115
Chaffey,CCC000424972,BRDCAST70   ,060420,D,03.00,03.00,N,B,Y,Y,Y,,,20251022
Chaffey,CCC000418228,BRDCAST74   ,060420,D,03.00,03.00,N,C,Y,Y,Y,,,20251022
Chaffey,CCC000525307,BIOL61      ,040100,D,05.00,05.00,N,E,Y,Y,Y,,,20191019
Chaffey,CCC000525309,PETEAM-57   ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20110505
Chaffey,CCC000525310,PETEAM-56   ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20110505
Chaffey,CCC000541626,HOTFS-21    ,130710,D,03.00,03.00,N,C,Y,Y,Y,,,20130407
Chaffey,CCC000541627,HOTFS-431   ,130700,D,03.00,03.00,N,C,Y,Y,Y,,,20130407
Chaffey,CCC000541628,PETEAM-6    ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20130407
Chaffey,CCC000633484,KINTM11C    ,083550,D,01.50,01.50,N,E,Y,Y,Y,,,20250123
Chaffey,CCC000640395,CUL438      ,130630,D,04.00,04.00,N,C,Y,Y,Y,,,20251115
Chaffey,CCC000598114,IETMECH401  ,094300,D,04.00,04.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000598115,IETMECH402  ,093500,D,04.00,04.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000626918,IETMECH403  ,093500,D,02.00,02.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000623791,NURAST600   ,123030,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000623792,NURAST600L  ,123030,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000598110,ACCTGFS30   ,050500,D,03.00,03.00,N,D,Y,Y,Y,,,20230928
Chaffey,CCC000637754,PHLEB600    ,120510,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000598112,IET484ABCD  ,093420,D,04.00,01.00,N,B,Y,Y,Y,,,20190713
Chaffey,CCC000637755,PHLEB600L   ,120510,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000640323,PHLEB605    ,120510,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000424825,RADTEC10    ,122500,D,03.00,03.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000614835,NURADN428   ,123000,D,03.00,03.00,N,D,Y,Y,Y,,,20200304
Chaffey,CCC000611055,ESL652      ,493087,N,00.00,00.00,B,E,B,A,Y,,,20251019
Chaffey,CCC000399386,JOUR11      ,060200,D,03.00,03.00,N,C,Y,Y,Y,,,20251019
Chaffey,CCC000601409,DENTAL455L  ,124010,D,00.50,00.50,N,C,Y,Y,Y,,,20251115
Chaffey,CCC000649993,PH13        ,120100,D,03.00,03.00,N,D,Y,Y,Y,,,20251109
Chaffey,CCC000629586,MUSIC20     ,100500,D,03.00,03.00,N,B,Y,Y,Y,,,20251024
Chaffey,CCC000417588,MUSIC21     ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000402297,MUSIC22     ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000421494,ID17        ,130200,D,03.00,03.00,N,D,Y,Y,Y,,,20251115
Chaffey,CCC000602944,ID21        ,130200,D,03.00,03.00,N,C,Y,Y,Y,,,20251115
Chaffey,CCC000400101,THEATRE1    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000414561,THEATRE10   ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000384201,THEATRE12   ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000422911,THEATRE18   ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000390120,THEATRE30   ,100600,D,03.00,03.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000622996,THEATRE31   ,100600,D,03.00,03.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000578617,THEATRE32   ,100600,D,03.00,03.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000397903,THEATRE4    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000399050,THEATRE40   ,100600,D,03.00,03.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000408006,MUSIC40     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000392910,MUSIC41     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000634394,HVACR602    ,094600,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000634395,HVACR603    ,094600,N,00.00,00.00,N,C,Y,I,Y,,,20250301
Chaffey,CCC000400389,MUSIC5      ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000554292,MUSIC58     ,100400,D,00.50,00.50,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000385161,MUSIC6      ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000554291,MUSIC7      ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000560223,MUSIC75     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000396092,MUSIC76     ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000423288,COMMC1000   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000415886,COMSTD12    ,061000,D,03.00,03.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000385850,COMSTD14    ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000385139,RADTEC31    ,122500,D,02.00,02.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000426010,RADTEC34    ,122500,D,03.00,03.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000629587,MUSIC23     ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000391529,MUSIC35     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000419743,MUSIC36     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000409560,MUSIC4      ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000418929,IETELMT430  ,093500,D,02.00,02.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000388599,IETELMT432  ,093500,D,02.00,02.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000598029,IETELMT436  ,093500,D,02.00,02.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000623686,THEATRE50B  ,100600,D,02.00,02.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000408248,THEATRE50C  ,100600,D,03.00,03.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000623687,THEATRE50D  ,100600,D,04.00,04.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000623688,THEATRE52A  ,100600,D,01.00,01.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000582779,THEATRE7    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000586591,THEATRE8    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000554288,MUSIC18     ,100500,D,03.00,03.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000622364,MUSIC19     ,100500,D,03.00,03.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000607661,IET484C     ,093420,D,03.00,03.00,N,B,Y,Y,Y,,,20250301
Chaffey,CCC000607662,IET484D     ,093420,D,04.00,04.00,N,B,Y,Y,Y,,,20250301
Chaffey,CCC000408084,RADTEC34L   ,122500,D,01.00,01.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000586904,RADTEC41    ,122500,D,07.00,07.00,N,C,Y,Y,Y,,,20250301
Chaffey,CCC000560222,MUSIC78     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000394188,ART35       ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20251022
Chaffey,CCC000392546,ART40       ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20251022
Chaffey,CCC000607655,GERO497A    ,130900,D,01.00,01.00,N,C,Y,Y,Y,,,20250227
Chaffey,CCC000607656,GERO497B    ,130900,D,02.00,02.00,N,C,Y,Y,Y,,,20250227
Chaffey,CCC000593086,THEATRE52B  ,100600,D,02.00,02.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000623689,THEATRE52C  ,100600,D,03.00,03.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000623690,THEATRE52D  ,100600,D,04.00,04.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000412351,THEATRE42   ,100600,D,03.00,03.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000607590,THEATRE496A ,100600,D,01.00,01.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000607591,THEATRE496B ,100600,D,02.00,02.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000607592,THEATRE496C ,100600,D,03.00,03.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000607593,THEATRE496D ,100600,D,04.00,04.00,N,C,Y,Y,Y,,,20251024
Chaffey,CCC000591388,THEATRE5    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000623685,THEATRE50A  ,100600,D,01.00,01.00,N,D,Y,Y,Y,,,20251024
Chaffey,CCC000559655,MUSIC77     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000649994,PH15        ,120100,D,03.00,03.00,N,D,Y,Y,Y,,,20251109
Chaffey,CCC000649995,PH5         ,120100,D,03.00,03.00,N,C,Y,Y,Y,,,20251109
Chaffey,CCC000534724,CHIN18      ,110700,D,03.00,03.00,N,E,Y,Y,Y,,,20251022
Chaffey,CCC000402474,CHIN2       ,110700,D,04.00,04.00,N,E,Y,Y,Y,,,20251022
Chaffey,CCC000530354,CHIN3       ,110700,D,04.00,04.00,N,E,Y,Y,Y,,,20251022
Chaffey,CCC000392938,COMSTD4     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000406120,COMSTD6     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000385564,COMSTD72    ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000398228,COMSTD74    ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000411309,COMSTD76    ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000501584,COMSTD78    ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000418968,COMSTD8     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251024
Chaffey,CCC000590795,ENGL73      ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251019
Chaffey,CCC000383236,ENGL74      ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251019
Chaffey,CCC000426082,ENGL75A     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251019
Chaffey,CCC000383136,CISNTWK-415 ,070800,D,03.00,03.00,N,B,Y,Y,Y,,,20070919
Chaffey,CCC000383150,PETEAM-28   ,083510,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Chaffey,CCC000383161,RE-492E     ,051100,D,03.00,03.00,N,D,Y,Y,Y,,,20070919
Chaffey,CCC000383235,AERO-552E   ,095020,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Chaffey,CCC000383240,CFMA-449    ,213350,D,00.50,00.20,N,C,Y,Y,Y,,,20070919
Chaffey,CCC000383245,ANTHRO-21   ,220220,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Chaffey,CCC000383246,ELECT-423L  ,093400,D,01.00,01.00,N,C,Y,Y,Y,,,20070919
Chaffey,CCC000383259,PHOTO-96D   ,101200,D,04.00,04.00,N,D,Y,Y,Y,,,20070919
Chaffey,CCC000383264,GUID-592B   ,493010,C,01.00,01.00,N,E,Y,Y,Y,,,20070919
