College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
San Mateo,CCC000002096,CIS 115     ,070710,D,03.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000002214,ADMJ776     ,210550,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000002461,HORT712     ,010910,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000002523,SOSC307     ,210440,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
San Mateo,CCC000002584,CIS 304     ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000002665,ENGL101     ,150100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000003003,NURS250     ,123010,D,08.00,08.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000003132,DSKL811     ,493032,C,01.00,00.50,B,E,Y,Y,Y,,,20080918
San Mateo,CCC000003537,TEAM680     ,083500,D,10.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000003697,BUSW204     ,051400,D,01.50,01.50,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000004177,ANTH110     ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000004194,TRAD882     ,095200,C,05.00,00.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000004201,TA&G221     ,103000,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000004640,FIRE790     ,213310,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000005134,FILM681     ,061200,D,05.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000005894,HORT415     ,010920,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000006018,BCST241     ,060400,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000006022,PLSC681     ,220700,D,10.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000011977,PLSC215     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20240302
San Mateo,CCC000012010,SOSC314     ,210440,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Mateo,CCC000012644,COSM753     ,300700,D,08.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000012766,BCST194     ,060400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000012872,FILM465     ,061220,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000013018,CIS 372     ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000013077,WELD210     ,095650,D,04.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000013168,LIT.681     ,150100,D,05.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000013321,PLUM704     ,095230,D,03.50,03.50,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000013617,HUM.127     ,499900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000013697,ADAP687     ,083580,D,05.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000013794,DANC686     ,100800,D,03.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000013995,HORT422     ,010920,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000014313,GERM802     ,110300,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000014472,MULT273     ,061440,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000014624,ARCH220     ,020100,D,04.00,04.00,N,E,Y,Y,Y,,,20170109
San Mateo,CCC000014962,ART 365     ,101200,D,04.00,04.00,N,E,Y,Y,Y,,,20080730
San Mateo,CCC000015478,SPAN806     ,110500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000000024,ELEC215     ,093400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000000362,GERM120     ,110300,D,05.00,05.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000000450,ADMJ715     ,210550,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000000571,BUS315      ,051400,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
San Mateo,CCC000000688,DRAF400     ,095300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000000689,MULT313     ,069900,D,04.00,00.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000000952,MANU130     ,095600,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000001282,LITH705     ,093600,D,02.00,01.50,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000001431,AQUA681     ,083570,D,05.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000001462,TA&G167     ,103000,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000001703,FTPS104     ,213350,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000001799,RE121       ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20220115
San Mateo,CCC000010067,MUS.101     ,100400,D,03.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000010097,ENGL837     ,150100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000010219,SPFI889     ,095230,D,10.00,00.50,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000010292,ELEC210     ,093400,D,03.00,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000010338,ACTG680     ,050200,D,10.00,00.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000010525,FTPS111     ,213350,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000010619,MATH111     ,170100,C,03.00,03.00,B,E,C,Y,Y,,,20210502
San Mateo,CCC000010727,HSCI125     ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000010895,FIRE702     ,213300,D,02.50,02.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000011347,MULT381     ,069900,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000011481,BUSW211     ,051400,D,05.00,01.00,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000011512,GRA 121     ,103000,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000011547,FTPS705     ,213350,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000023133,DENT740     ,124010,D,03.00,03.00,N,C,Y,Y,Y,,,20240614
San Mateo,CCC000023298,BUSW684     ,051400,D,05.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000023453,MULT280     ,061440,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000023665,AERO350     ,095010,D,02.50,02.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000023892,READ815     ,152000,C,01.00,00.50,B,E,Y,Y,Y,,,20100309
San Mateo,CCC000024192,SOCI340     ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000548283,ANTHC1001   ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000557176,ANTHC1001L  ,220200,D,01.00,01.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000232326,ASTRC1001   ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000129566,ASTRC1001L  ,191100,D,01.00,01.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000085150,BIOLC1000   ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000249825,CHEM231     ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000146561,CHEM232     ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000136737,COMMC1004   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000205034,ECONC2001   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000037831,ECONC2002   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000178454,ENGLC1002   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000270230,HISTC1001   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000653458,HSCI100     ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000164515,MATHC2210   ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000306287,MATHC2220   ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000251042,SOCIC1000   ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Mateo,CCC000599172,STAT800     ,170100,C,02.00,02.00,B,E,A,Y,Y,,,20260115
San Mateo,CCC000008049,CIS 291     ,070600,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000008229,BUS.133     ,051400,D,02.00,01.50,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000008471,CHEM680     ,190500,D,10.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000008756,ART223      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20230825
San Mateo,CCC000008805,FREN118     ,110200,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000008866,READ680     ,493071,D,03.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000008899,HMSV264     ,210400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000008973,LITH712     ,093600,D,02.00,01.50,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000009121,ENGL810     ,150100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000009166,BCST680     ,060100,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000009313,BUS.322     ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000009325,ART412      ,100230,D,03.00,02.00,N,E,Y,Y,Y,,,20191019
San Mateo,CCC000009350,CRER141     ,493010,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000009564,PSYC680     ,200100,D,10.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000009575,BUSW535     ,051400,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000009743,CULN704     ,130630,D,04.00,00.50,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000460544,HIST106     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250614
San Mateo,CCC000652231,LIT269      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250614
San Mateo,CCC000652232,MATH243     ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250614
San Mateo,CCC000558092,MUS403      ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250614
San Mateo,CCC000646899,PHIL210     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20250614
San Mateo,CCC000139753,ART207      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000572169,ART251      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000020729,PARA886     ,125100,D,01.00,01.00,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000020739,AERO100     ,302020,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000020890,FIRE736     ,213300,D,02.50,02.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000021358,JAPN111     ,110800,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000021376,MEDA165     ,120800,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000568686,COUN240     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000575068,CRER155     ,493010,D,02.00,02.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000022087,SPCH845     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000022134,FILM877     ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20080730
San Mateo,CCC000022255,MTT.200     ,095630,D,02.00,02.00,N,D,Y,Y,Y,,,20080730
San Mateo,CCC000022335,READ410     ,493071,D,03.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000022409,MGMT682     ,050600,D,05.00,00.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000022447,SPCH690     ,150600,D,03.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000548935,DANC1404    ,100800,D,01.00,00.50,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000030567,ESL847      ,493086,C,03.00,03.00,B,E,B,Y,Y,,,20191019
San Mateo,CCC000030626,LIT.877     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20080730
San Mateo,CCC000066653,BLDG725     ,095720,D,03.00,03.00,N,C,Y,Y,Y,,,20250519
San Mateo,CCC000006142,ANTH360     ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000007192,AERO370     ,095010,D,02.50,02.50,N,B,Y,Y,Y,,,20070917
San Mateo,CCC000007345,BUS.680     ,050100,D,10.00,00.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000007723,LITH881     ,093600,D,05.00,00.50,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000196664,FIRE745     ,213300,D,03.00,03.00,N,B,Y,Y,Y,,,20250625
San Mateo,CCC000548895,FITN1161    ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000582177,ART348      ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000278407,ART350      ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000556086,ART401      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000557175,ASL100      ,085000,D,05.00,05.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000557174,ASL110      ,085000,D,05.00,05.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000321768,ASTR103     ,191100,D,01.00,01.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000155453,ASTR115     ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000460522,ASTR125     ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000610106,ASTR210     ,191100,D,04.00,04.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000173068,BIOL100     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000024390,BIOL102     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000067925,BIOL130     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000566937,BIOL132     ,041000,D,01.00,01.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000210246,BIOL145     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000061065,BIOL184     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000275831,BIOL195     ,040100,D,01.00,01.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000021535,BIOL210     ,040100,D,05.00,05.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000248391,BIOL220     ,040200,D,05.00,05.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000004727,BIOL230     ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000231531,BIOL240     ,040300,D,04.00,04.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000329379,BIOL250     ,041000,D,04.00,04.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000215839,BIOL260     ,041000,D,05.00,05.00,N,E,Y,Y,Y,,,20250613
San Mateo,CCC000518889,BIOL310     ,130600,D,03.00,03.00,N,D,Y,Y,Y,,,20250613
San Mateo,CCC000548871,FITN1162    ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000548870,FITN1163    ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000548896,FITN1164    ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000556142,FITN2011    ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000305601,ADMJ100     ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20250626
San Mateo,CCC000645370,AOD700      ,210440,D,03.00,03.00,N,D,Y,Y,Y,,,20250626
San Mateo,CCC000592881,ETHN123     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250626
San Mateo,CCC000152955,ETHN265     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250626
San Mateo,CCC000315193,ETHN300     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250626
San Mateo,CCC000064159,FILM277FILM ,061200,D,03.00,03.00,N,E,Y,Y,Y,,,20250626
San Mateo,CCC000566935,KINE102     ,083560,D,03.00,03.00,N,D,Y,Y,Y,,,20250626
San Mateo,CCC000024470,PSYC410     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250626
San Mateo,CCC000608490,ART352      ,101200,D,03.00,03.00,N,D,Y,Y,Y,,,20250518
San Mateo,CCC000530909,ART383      ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20250518
San Mateo,CCC000587112,FILM135     ,061200,D,04.00,04.00,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000631413,ACTG100     ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20250614
San Mateo,CCC000629828,BUS123      ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20250518
San Mateo,CCC000593817,COMM115     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250518
San Mateo,CCC000636318,COSM764     ,300700,D,01.50,01.50,N,D,Y,Y,Y,,,20250518
San Mateo,CCC000518898,DGME118     ,061400,D,03.00,03.00,N,D,Y,Y,Y,,,20250518
San Mateo,CCC000580529,DGME119     ,060410,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000652221,BIOL211     ,040700,D,04.00,04.00,N,E,Y,Y,Y,,,20250614
San Mateo,CCC000608561,DGME133     ,060410,D,02.00,02.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000529611,DGME167     ,061400,D,03.00,03.00,N,D,Y,Y,Y,,,20250518
San Mateo,CCC000529612,DGME168     ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000531129,DGME169     ,061400,D,03.00,03.00,N,B,Y,Y,Y,,,20250518
San Mateo,CCC000580516,DGME170     ,050910,D,03.00,03.00,N,D,Y,Y,Y,,,20250518
San Mateo,CCC000652222,BIOL221     ,040200,D,04.00,04.00,N,E,Y,Y,Y,,,20250614
San Mateo,CCC000526665,DGME220     ,061400,D,03.00,03.00,N,D,Y,Y,Y,,,20250518
San Mateo,CCC000604827,BUS103      ,051400,D,03.00,03.00,N,D,Y,Y,Y,,,20250614
San Mateo,CCC000530820,DGME250     ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000292587,ENGLC1000   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250518
San Mateo,CCC000557623,ENGLC1000E  ,150100,D,05.00,05.00,N,E,Y,Y,Y,,,20250518
San Mateo,CCC000223157,ENGLC1001   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250518
San Mateo,CCC000645418,ESL401      ,493087,D,04.00,04.00,N,E,A,Y,Y,,,20250518
San Mateo,CCC000610573,ESL848      ,493086,C,03.00,03.00,N,E,A,Y,Y,,,20250518
San Mateo,CCC000276185,FIRE714     ,213310,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000327039,FIRE715     ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000141768,FIRE720     ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000630312,FIRE721     ,213350,D,02.00,02.00,N,D,Y,Y,Y,,,20250518
San Mateo,CCC000018720,PLUM880     ,095230,D,10.00,00.50,N,A,Y,Y,Y,,,20070917
San Mateo,CCC000018851,ENGL844     ,493020,C,05.00,01.00,B,E,A,Y,Y,,,20070917
San Mateo,CCC000018937,MATH881     ,170100,C,02.00,00.50,B,E,Y,Y,Y,,,20100309
San Mateo,CCC000019263,BUSD116     ,051400,D,05.00,01.00,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000019279,LIBR101     ,160100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000019373,AJPS112     ,210550,D,06.00,05.00,N,C,Y,Y,Y,,,20191019
San Mateo,CCC000019800,LIT809      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20210626
San Mateo,CCC000019812,TA&G201     ,103000,D,06.00,06.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000437939,FITN225     ,083550,D,02.00,00.50,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000020307,AJPS706     ,210550,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000020339,COOP641     ,493200,D,08.00,00.50,N,C,Y,Y,Y,,,20090213
San Mateo,CCC000020352,DRAF880     ,095300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000529788,FITN226     ,083550,D,01.00,00.50,N,E,Y,Y,Y,,,20250625
San Mateo,CCC000020379,COSM760     ,300700,D,20.00,00.50,N,B,Y,Y,Y,,,20080111
San Mateo,CCC000020555,LIT.276     ,150100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000020561,CIS 156     ,070800,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000028511,FIRE709     ,213300,D,02.50,02.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000029335,BUSD501     ,051400,D,05.00,02.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000029366,AERO681     ,095000,D,05.00,00.50,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000029402,AJPS713     ,210550,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000029574,CIS379      ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Mateo,CCC000039322,FASH113     ,130300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000039394,HUM.114     ,499900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000039424,AERO107     ,302020,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000039532,LIT.884     ,150100,D,05.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000039618,EHMT150     ,030300,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000039898,ART 352     ,101200,D,03.00,02.00,N,E,Y,Y,Y,,,20170110
San Mateo,CCC000039907,ITAL115     ,110400,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000039981,PE690       ,083500,D,03.00,00.50,N,E,Y,Y,Y,,,20191019
San Mateo,CCC000308301,RE100       ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20250625
San Mateo,CCC000040327,MULT260     ,069900,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000040704,FILM155     ,061220,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000040742,TA&G681     ,103000,D,10.00,00.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000100192,SPAN801     ,110500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000101286,CRER683     ,493010,D,10.00,00.50,N,E,Y,Y,Y,,,20090213
San Mateo,CCC000101350,MULT295     ,061400,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000101512,ENGL400     ,150100,D,05.00,05.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000162555,AERO341     ,095020,D,04.50,04.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000162656,HUM.125     ,499900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000162725,ELEC100     ,093400,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000162790,FILM105     ,061200,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000162848,DANC684     ,100800,D,05.00,00.50,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000162930,SPAN804     ,110500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000163058,HORT420     ,010920,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000163165,MULT271     ,061440,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000216917,ADAP170     ,083580,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000216968,TA&G690     ,103000,D,02.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000217406,MULT296     ,061400,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000217721,GRA 225     ,103000,D,02.00,02.00,N,C,Y,Y,Y,,,20080730
San Mateo,CCC000217880,MANU680     ,095600,D,03.00,01.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000264588,CIS 180     ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000264612,COSM750     ,300700,D,19.00,00.50,N,B,Y,Y,Y,,,20090213
San Mateo,CCC000264837,FILM462     ,061220,D,04.00,04.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000264852,FITN116     ,083510,D,02.00,00.50,N,E,Y,Y,Y,,,20081001
San Mateo,CCC000264863,HORT709     ,010910,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
San Mateo,CCC000265031,PLSC212     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
San Mateo,CCC000307135,CIS 452     ,070810,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
San Mateo,CCC000343749,BUS.356     ,051200,D,01.00,01.00,N,D,Y,Y,Y,,,20070919
San Mateo,CCC000343799,MULT315     ,069900,D,01.50,01.50,N,C,Y,Y,Y,,,20070919
San Mateo,CCC000343823,ELEC133     ,093400,D,02.00,02.00,N,C,Y,Y,Y,,,20080730
San Mateo,CCC000343913,HMSV151     ,210400,D,03.00,01.00,N,C,Y,Y,Y,,,20070919
San Mateo,CCC000344041,ELEC683     ,093400,D,05.00,00.50,N,D,Y,Y,Y,,,20070919
San Mateo,CCC000344152,BUSW451     ,051400,D,01.50,01.50,N,C,Y,Y,Y,,,20191019
San Mateo,CCC000125400,FIRE740     ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000566934,FIRE770     ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000591582,FIRE797     ,125000,D,11.00,11.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000572382,FIRE810     ,213300,C,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000568432,FIRE811     ,213300,C,03.00,03.00,N,C,Y,Y,Y,,,20250518
San Mateo,CCC000582181,GBST101     ,221020,D,03.00,03.00,N,E,Y,Y,Y,,,20250518
San Mateo,CCC000583703,KINE206     ,083520,D,02.00,02.00,N,C,Y,Y,Y,,,20250518
