College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Cerritos,CCC000658597,AED9010     ,095220,N,00.00,00.00,N,A,Y,I,Y,,,20260215
Cerritos,CCC000416279,AED3908     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000394156,AED3909     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000416372,AED3910     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000394398,AED3911     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000414948,AED3912     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000646494,AED4221     ,493060,N,00.00,00.00,B,E,E,C,Y,,,20250823
Cerritos,CCC000646495,AED4223     ,493060,N,00.00,00.00,B,E,E,C,Y,,,20250823
Cerritos,CCC000646496,AED4801     ,493100,N,00.00,00.00,N,D,Y,A,Y,,,20250823
Cerritos,CCC000424116,AED6001     ,493090,N,00.00,00.00,N,E,Y,B,Y,,,20250823
Cerritos,CCC000649926,AEDCR1      ,493062,N,00.00,00.00,B,E,D,C,Y,,,20250823
Cerritos,CCC000649927,AEDCR10     ,493062,N,00.00,00.00,B,E,A,C,Y,,,20250823
Cerritos,CCC000649928,AEDCR11     ,493062,N,00.00,00.00,B,E,C,C,Y,,,20250823
Cerritos,CCC000649929,AEDCR12     ,493062,N,00.00,00.00,B,E,D,C,Y,,,20250823
Cerritos,CCC000649930,AEDCR13     ,493062,N,00.00,00.00,B,E,B,C,Y,,,20250823
Cerritos,CCC000649931,AEDCR2      ,493062,N,00.00,00.00,B,E,C,C,Y,,,20250823
Cerritos,CCC000649932,AEDCR3      ,493062,N,00.00,00.00,B,E,C,C,Y,,,20250823
Cerritos,CCC000649933,AEDCR4      ,493062,N,00.00,00.00,B,E,B,C,Y,,,20250823
Cerritos,CCC000649934,AEDCR5      ,493062,N,00.00,00.00,B,E,B,C,Y,,,20250823
Cerritos,CCC000649935,AEDCR6      ,493062,N,00.00,00.00,B,E,C,C,Y,,,20250823
Cerritos,CCC000649936,AEDCR7      ,493062,N,00.00,00.00,B,E,C,C,Y,,,20250823
Cerritos,CCC000649937,AEDCR8      ,493062,N,00.00,00.00,B,E,C,C,Y,,,20250823
Cerritos,CCC000649938,AEDCR9      ,493062,N,00.00,00.00,B,E,B,C,Y,,,20250823
Cerritos,CCC000647915,AFRS104     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000647914,AFRS106     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000647916,AFRS215     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000647917,AFRS220     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000506658,AB164       ,094900,D,02.50,02.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000644444,ACLR102     ,493030,D,02.00,02.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000634700,ADN200A     ,123010,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634701,ADN200B     ,123010,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634702,ADN200C     ,123010,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634703,ADN210      ,123010,D,05.00,05.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634704,ADN215      ,123010,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634705,ADN220      ,123010,D,05.00,05.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634706,ADN225      ,123010,D,05.00,05.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634707,ADN230      ,123010,D,04.50,04.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634708,ADN235      ,123010,D,03.50,03.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634709,ADN240      ,123010,D,04.50,04.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634710,ADN245      ,123010,D,04.50,04.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000646490,AED2209     ,130100,N,00.00,00.00,N,D,Y,H,Y,,,20250823
Cerritos,CCC000646491,AED3603     ,493012,N,00.00,00.00,N,E,Y,J,Y,,,20250823
Cerritos,CCC000646492,AED3605     ,095650,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000400820,AED3901     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000420243,AED3904     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000418447,AED3906     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000395991,AED3907     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250823
Cerritos,CCC000649672,AED0001     ,493062,N,00.00,00.00,B,E,Y,C,Y,,,20250120
Cerritos,CCC000649673,AED0002     ,493062,N,00.00,00.00,B,E,Y,C,Y,,,20250120
Cerritos,CCC000649674,AED0003     ,493062,N,00.00,00.00,B,E,Y,C,Y,,,20250120
Cerritos,CCC000389335,CHEM110     ,190500,D,04.00,04.00,N,E,Y,Y,Y,,,20250413
Cerritos,CCC000394739,HED100      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250413
Cerritos,CCC000606255,HED102      ,120100,D,03.00,03.00,N,D,Y,Y,Y,,,20250413
Cerritos,CCC000592729,HED104      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250413
Cerritos,CCC000648281,HED108      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250413
Cerritos,CCC000592777,HED202      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250413
Cerritos,CCC000606256,HO102       ,120100,D,03.00,03.00,N,D,Y,Y,Y,,,20250413
Cerritos,CCC000587580,WGS103      ,220110,D,03.00,03.00,N,E,Y,Y,Y,,,20250413
Cerritos,CCC000646493,AED4220     ,493060,N,00.00,00.00,B,E,E,C,Y,,,20250418
Cerritos,CCC000413335,DANC101     ,100800,D,03.00,03.00,N,E,Y,Y,Y,,,20250215
Cerritos,CCC000634750,DANC102     ,083580,D,01.00,01.00,N,E,Y,Y,Y,,,20250215
Cerritos,CCC000647924,DANC108A    ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250215
Cerritos,CCC000647925,DANC108B    ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250215
Cerritos,CCC000401101,CDEVC1000   ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20251212
Cerritos,CCC000603699,COMMC1004   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251212
Cerritos,CCC000649675,AED0004     ,493062,N,00.00,00.00,B,E,Y,C,Y,,,20250120
Cerritos,CCC000639934,DH311       ,124020,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000639935,DH312       ,124020,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000598683,WMT180      ,095250,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000421798,AED3902     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250412
Cerritos,CCC000399456,AED3903     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250412
Cerritos,CCC000598624,WMT181      ,095250,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000397220,AED3905     ,095270,N,00.00,00.00,N,A,Y,I,Y,,,20250412
Cerritos,CCC000637031,WMT181L     ,095250,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000621537,WMT184      ,095250,D,04.00,04.00,N,D,Y,Y,Y,,,20250823
Cerritos,CCC000647961,WMT187      ,095250,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000593006,WMT201      ,095250,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000592787,WMT211      ,095250,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647962,WMT218      ,095250,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647963,WMT219L     ,095250,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000389582,AED4001     ,095650,N,00.00,00.00,N,A,Y,I,Y,,,20250412
Cerritos,CCC000418318,AED4803     ,150700,N,00.00,00.00,N,E,Y,H,Y,,,20250412
Cerritos,CCC000506687,WMT237      ,095200,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000622732,AED9041S    ,050640,N,00.00,00.00,N,C,Y,I,Y,,,20250411
Cerritos,CCC000622733,AED9043     ,050640,N,00.00,00.00,N,C,Y,I,Y,,,20250411
Cerritos,CCC000587668,AUTO155     ,094800,D,02.00,02.00,N,C,Y,Y,Y,,,20250410
Cerritos,CCC000647964,WMT237L     ,095250,D,01.50,01.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635385,WMT246      ,095250,D,04.00,04.00,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000598579,WMT269L     ,095250,D,02.50,02.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000651576,WMT282L     ,095250,D,01.50,01.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000423514,GEOL201     ,191400,D,04.00,04.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000413976,HED103      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000648280,HED107      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000645443,HED201      ,126100,D,03.00,03.00,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000404121,HO53        ,120800,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000551730,KIN298      ,127000,D,01.00,01.00,N,E,Y,Y,Y,,,20260118
Cerritos,CCC000647918,AFRS222     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000647919,AFRS225     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000647920,AFRS230     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000403310,AJ104       ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000453074,AJ107       ,210520,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000406564,AJ222       ,210500,D,03.00,03.00,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000645774,ART110A     ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000634336,ART123      ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000637046,ART126      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650617,ART127      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000645775,ART159      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000640527,MUS146A     ,100500,D,02.50,02.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000640528,MUS146C     ,100500,D,02.50,02.50,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000552547,MUS180      ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000552762,MUS181      ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000552546,MUS200E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000552761,MUS202E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000552759,MUS207E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000649564,MUS214E     ,100500,D,01.00,01.00,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000552697,MUS216E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000552703,MUS219E     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000552701,MUS281      ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650621,NAIS100     ,220191,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650622,NAIS101     ,220191,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650623,NAIS110     ,220191,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650624,NAIS120     ,220191,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650625,NAIS201     ,220191,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000581706,PEX162      ,083510,D,01.50,01.50,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650539,PEX187A     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000417431,PHAR183     ,122100,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000639990,PHAR327     ,122100,D,03.00,03.00,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000394009,PHIL102     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000552364,POL250      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000634337,POL255      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000641618,POL281      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000647960,DANC108C    ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250215
Cerritos,CCC000409325,HED200      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250215
Cerritos,CCC000638849,KIN202      ,083520,D,03.00,03.00,N,D,Y,Y,Y,,,20250215
Cerritos,CCC000638851,KIN207      ,122800,D,01.00,01.00,N,C,Y,Y,Y,,,20250215
Cerritos,CCC000645776,ART189      ,061460,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000645777,ART193A     ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650618,ASAM100     ,220190,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000650619,ASAM110     ,220190,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000638365,ATH244      ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000636743,AUTO103     ,094840,D,03.00,03.00,N,C,Y,Y,A,,,20250823
Cerritos,CCC000651572,AUTO121     ,094800,D,05.00,05.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000651573,AUTO151     ,094800,D,05.00,05.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000651574,AUTO161     ,094800,D,02.50,02.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000535944,WELD159     ,095650,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000453278,WELD160     ,095650,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000391501,WELD170     ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000383551,WELD240L    ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000398019,WELD250L    ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000423771,WELD251L    ,095650,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000637024,WELD252L    ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000403290,WELD254L    ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000535942,WELD256L    ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000535943,WELD258L    ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000542706,WELD260L    ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000535945,WELD281L    ,095650,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000535946,WELD282L    ,095650,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000535947,WELD283L    ,095650,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647615,WMT100      ,095250,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000592779,WMT103      ,095250,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000598561,WMT103L     ,095250,D,02.50,02.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000598563,WMT111L     ,095250,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647616,WMT119L     ,095250,D,01.00,01.00,N,D,Y,Y,Y,,,20250823
Cerritos,CCC000647617,WMT124      ,095250,D,03.00,03.00,N,D,Y,Y,Y,,,20250823
Cerritos,CCC000637025,WMT126      ,095250,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647618,WMT135L     ,095250,D,01.50,01.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000592731,WMT151      ,095250,D,04.00,04.00,N,D,Y,Y,Y,,,20250823
Cerritos,CCC000592732,WMT153      ,095250,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000638745,WMT154      ,095250,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000592780,WMT155      ,095250,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000637030,WMT171L     ,095250,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647619,WMT172L     ,095250,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000658592,PHIL120     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20260214
Cerritos,CCC000659489,CIS193      ,070700,D,04.00,04.00,N,B,Y,Y,Y,,,20260329
Cerritos,CCC000659490,CIS204      ,070710,D,04.00,04.00,N,B,Y,Y,Y,,,20260329
Cerritos,CCC000651575,AUTO181     ,094800,D,05.00,05.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000385087,BA106       ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000646435,BA130       ,050500,D,03.00,03.00,N,D,Y,Y,Y,,,20250823
Cerritos,CCC000394071,BIOL105     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000649563,BTEC120     ,043000,D,04.00,04.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000655839,AFRS219     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20251214
Cerritos,CCC000655840,AFRS224     ,220180,D,03.00,03.00,N,E,Y,Y,Y,,,20251214
Cerritos,CCC000639989,COMM320     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000634711,COS100A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000634712,COS100B     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635149,COS101A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635891,COS101B     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635152,COS104A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635153,COS104B     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635154,COS105A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635155,COS105B     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635157,COS108A     ,300700,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635158,COS108B     ,300700,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635159,COS109A     ,300700,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635160,COS109B     ,300700,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635161,COS110A     ,300700,D,01.50,01.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635220,COS110B     ,300700,D,00.50,00.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635221,COS111A     ,300700,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635222,COS111B     ,300700,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635223,COS112A     ,300700,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635224,COS112B     ,300700,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635225,COS113A     ,300700,D,01.50,01.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000635226,COS113B     ,300700,D,00.50,00.50,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000636746,COS114      ,300700,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000636747,COS115A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000551213,ATH201LC    ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20260118
Cerritos,CCC000657535,EDEL200     ,089900,D,03.00,03.00,N,C,Y,Y,Y,,,20260118
Cerritos,CCC000551660,CHIN201     ,110700,D,05.00,05.00,N,E,Y,Y,Y,,,20260201
Cerritos,CCC000581647,CHIN202     ,110700,D,05.00,05.00,N,E,Y,Y,Y,,,20260201
Cerritos,CCC000387236,SOCIC1000   ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20251212
Cerritos,CCC000636748,COS115B     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000636993,COS116A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000636750,COS117A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000636752,COS118A     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000636753,COS118B     ,300700,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000636754,COS119      ,300700,D,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000652796,COS120B     ,300700,D,00.50,00.50,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000638098,COUN101B    ,493010,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000418407,COUN110     ,493010,D,01.00,01.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000640523,COUN205     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000646404,CS102       ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000392448,DA65        ,124010,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000640463,DA75        ,124010,D,05.00,05.00,N,B,Y,Y,Y,,,20250823
Cerritos,CCC000648277,DANC105     ,100810,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647926,DANC112     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647927,DANC120     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000646436,DANC121     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647928,DANC122     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000647929,DANC133     ,100810,D,03.00,03.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000412877,DANC135     ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000414912,DANC136     ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20250823
Cerritos,CCC000646437,DANC141     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000646438,DANC142     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000646439,DANC143     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000648278,DANC144     ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000425969,AP150       ,041000,D,04.00,04.00,N,E,Y,Y,Y,,,20250821
Cerritos,CCC000403923,AP151       ,041000,D,04.00,04.00,N,E,Y,Y,Y,,,20250821
Cerritos,CCC000646440,DANC50      ,100810,C,01.00,01.00,N,C,Y,Y,Y,,,20250823
Cerritos,CCC000648279,HED106      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250821
Cerritos,CCC000610260,HO245       ,120100,D,03.00,03.00,N,C,Y,Y,Y,,,20250821
Cerritos,CCC000604699,PSYC245     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250821
Cerritos,CCC000659425,EDEL299     ,080100,D,02.00,02.00,N,E,Y,Y,Y,,,20260323
Cerritos,CCC000658349,SLP234      ,122000,D,03.00,03.00,N,C,Y,Y,Y,,,20260202
Cerritos,CCC000658394,AED4801     ,493100,N,00.00,00.00,N,C,Y,A,Y,,,20260206
Cerritos,CCC000631270,EMLS105     ,493087,D,05.00,05.00,N,E,C,Y,Y,,,20260206
Cerritos,CCC000630996,EMLS120     ,493087,D,05.00,05.00,N,E,B,Y,Y,,,20260206
Cerritos,CCC000658395,EMLS14      ,493100,C,01.50,01.50,B,D,D,Y,Y,,,20260206
Cerritos,CCC000542646,EMLS152     ,493084,D,05.00,05.00,N,E,A,Y,Y,,,20260206
Cerritos,CCC000641551,EMLS180     ,493100,D,05.00,05.00,N,D,Y,Y,Y,,,20260206
Cerritos,CCC000658396,ENGL251     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20260206
Cerritos,CCC000396377,MUS8        ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Cerritos,CCC000396379,CRCC 139    ,051430,D,01.00,01.00,N,C,Y,Y,Y,,,20100621
Cerritos,CCC000396388,BL67A       ,140200,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Cerritos,CCC000396416,AED1106     ,083700,N,00.00,00.00,N,E,Y,H,Y,,,20191019
Cerritos,CCC000396436,AJ298       ,210500,D,01.00,01.00,N,B,Y,Y,Y,,,20191019
Cerritos,CCC000396444,COS 50C     ,300700,D,06.50,06.50,N,C,Y,Y,Y,,,20070919
Cerritos,CCC000396467,ENGL241     ,150700,D,03.00,03.00,N,E,Y,Y,Y,,,20230301
Cerritos,CCC000396499,CRCC 141    ,051430,D,03.00,03.00,N,C,Y,Y,Y,,,20100722
Cerritos,CCC000396514,WELD100     ,095650,D,02.50,02.50,N,C,Y,Y,Y,,,20191019
Cerritos,CCC000396517,AUTO211     ,094800,D,05.00,05.00,N,C,Y,Y,Y,,,20220414
Cerritos,CCC000396524,EL212       ,093400,D,03.00,03.00,N,B,Y,Y,Y,,,20191019
Cerritos,CCC000396533,PHAR2       ,122100,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Cerritos,CCC000396546,ESL14       ,493086,C,03.00,03.00,B,E,D,Y,Y,,,20191019
Cerritos,CCC000396557,CDEC112     ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20231119
Cerritos,CCC000396584,READ103     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20220824
Cerritos,CCC000396685,WMT130      ,095200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
